order_id,customer_id,store_id,order_date,order_status,payment_method
ORD000114,,,2024-02-29,Completed,M-Pesa
ORD000115,,,2024-11-30,Completed,Card
ORD000116,,,2025-12-31,Completed,Cash
ORD000117,,,2024-03-05,Completed,Card
ORD000118,,,2024-12-17,Completed,M-Pesa
ORD000119,,,2024-06-22,Completed,M-Pesa
ORD000120,,,2024-04-01,Completed,Card
ORD000121,,,2025-12-23,Completed,M-Pesa
ORD000122,,,2025-10-04,Completed,Card
ORD000123,,,2025-04-08,Completed,Card
ORD000124,,,2024-06-17,Completed,Card
ORD000125,,,2024-10-05,Completed,Cash
ORD000126,,,2024-04-19,Cancelled,M-Pesa
ORD000127,,,2025-02-14,Completed,M-Pesa
ORD000128,,,2024-07-30,Cancelled,Bank Transfer
ORD000129,,,2024-11-28,Completed,M-Pesa
ORD000130,,,2024-04-21,Returned,Card
ORD000131,,,2024-12-29,Cancelled,M-Pesa
ORD000132,,,2025-10-08,Completed,M-Pesa
ORD000133,,,2025-02-22,Completed,Card
ORD000134,,,2025-02-16,Completed,M-Pesa
ORD000135,,,2025-03-19,Completed,Cash
ORD000136,,,2024-10-26,Cancelled,M-Pesa
ORD000137,,,2025-01-28,Completed,Card
ORD000138,,,2025-11-15,Completed,M-Pesa
ORD000139,,,2024-12-24,Completed,M-Pesa
ORD000140,,,2025-11-20,Completed,Bank Transfer
ORD000141,,,2024-10-23,Completed,M-Pesa
ORD000142,,,2025-06-27,Completed,M-Pesa
ORD000143,,,2024-02-19,Completed,M-Pesa
ORD000144,,,2025-09-08,Completed,Card
ORD000145,,,2025-01-16,Completed,Card
ORD000146,,,2024-06-28,Completed,M-Pesa
ORD000147,,,2025-07-29,Completed,M-Pesa
ORD000148,,,2024-12-03,Completed,M-Pesa
ORD000149,,,2025-05-15,Completed,M-Pesa
ORD000150,,,2024-06-18,Completed,Card
ORD000151,,,2025-10-06,Completed,M-Pesa
ORD000152,,,2024-07-13,Completed,M-Pesa
ORD000153,,,2024-11-10,Completed,Card
ORD000154,,,2025-10-20,Returned,M-Pesa
ORD000155,,,2024-03-14,Completed,Bank Transfer
ORD000156,,,2024-10-11,Completed,M-Pesa
ORD000157,,,2025-08-30,Cancelled,M-Pesa
ORD000158,,,2024-09-02,Completed,M-Pesa
ORD000159,,,2025-02-13,Completed,Card
ORD000160,,,2024-05-12,Completed,M-Pesa
ORD000161,,,2025-03-23,Completed,Cash
ORD000162,,,2024-06-05,Completed,M-Pesa
ORD000163,,,2025-08-24,Completed,Card
ORD000164,,,2024-07-22,Completed,Card
ORD000165,,,2025-02-11,Completed,M-Pesa
ORD000166,,,2025-10-15,Completed,M-Pesa
ORD000167,,,2024-07-14,Completed,Card
ORD000168,,,2024-10-06,Cancelled,M-Pesa
ORD000169,,,2024-12-22,Completed,M-Pesa
ORD000170,,,2025-12-04,Completed,Cash
ORD000171,,,2025-01-07,Cancelled,Card
ORD000172,,,2024-11-24,Completed,Card
ORD000173,,,2025-05-14,Completed,Card
ORD000174,,,2025-02-14,Returned,Card
ORD000175,,,2025-01-06,Completed,Card
ORD000176,,,2024-02-19,Completed,Card
ORD000177,,,2025-12-26,Completed,M-Pesa
ORD000178,,,2024-08-07,Completed,M-Pesa
ORD000179,,,2024-08-08,Completed,Card
ORD000180,,,2025-10-10,Completed,M-Pesa
ORD000181,,,2024-01-01,Cancelled,Card
ORD000182,,,2024-07-24,Cancelled,Cash
ORD000183,,,2024-06-28,Completed,Card
ORD000184,,,2025-08-21,Completed,M-Pesa
ORD000185,,,2024-09-30,Completed,Bank Transfer
ORD000186,,,2024-03-02,Completed,Card
ORD000187,,,2025-11-03,Completed,M-Pesa
ORD000188,,,2024-11-27,Completed,Bank Transfer
ORD000189,,,2024-05-14,Completed,M-Pesa
ORD000190,,,2025-08-26,Completed,Card
ORD000191,,,2024-04-25,Completed,M-Pesa
ORD000192,,,2025-11-19,Completed,M-Pesa
ORD000193,,,2025-10-18,Completed,M-Pesa
ORD000194,,,2025-06-21,Completed,Card
ORD078779,,,2025-10-11,Completed,M-Pesa
ORD000196,,,2025-05-31,Completed,M-Pesa
ORD000197,,,2025-09-01,Completed,M-Pesa
ORD000198,,,2024-04-16,Completed,M-Pesa
ORD000199,,,2024-12-18,Completed,M-Pesa
ORD000200,,,2025-05-11,Completed,M-Pesa
ORD000201,,,2024-10-07,Completed,M-Pesa
ORD000202,,,2024-06-27,Completed,M-Pesa
ORD000203,,,2025-09-03,Completed,M-Pesa
ORD000204,,,2025-04-24,Completed,M-Pesa
ORD000205,,,2025-12-31,Completed,M-Pesa
ORD000206,,,2024-06-04,Completed,Card
ORD000207,,,2024-03-04,Completed,Card
ORD000208,,,2025-03-20,Completed,M-Pesa
ORD000209,,,2024-02-01,Completed,Card
ORD000210,,,2024-05-30,Completed,Card
ORD000211,,,2024-04-07,Completed,Card
ORD000212,,,2024-04-06,Cancelled,M-Pesa
ORD000213,,,2025-02-09,Completed,M-Pesa
ORD000214,,,2025-04-03,Cancelled,Card
ORD000215,,,2025-03-09,Completed,Cash
ORD000216,,,2025-09-15,Completed,M-Pesa
ORD000217,,,2024-01-28,Completed,M-Pesa
ORD000218,,,2024-10-20,Completed,M-Pesa
ORD000219,,,2025-08-02,Completed,Bank Transfer
ORD000220,,,2024-06-23,Completed,Card
ORD000221,,,2025-07-23,Completed,M-Pesa
ORD000222,,,2024-10-19,Returned,Card
ORD000223,,,2025-09-02,Completed,Card
ORD000224,,,2025-04-27,Completed,Card
ORD000225,,,2025-06-07,Completed,M-Pesa
ORD000226,,,2024-09-11,Completed,Card
ORD000227,,,2025-01-22,Completed,M-Pesa
ORD000228,,,2024-03-23,Cancelled,M-Pesa
ORD000229,,,2024-08-16,Completed,Card
ORD000230,,,2024-05-11,Completed,Bank Transfer
ORD000231,,,2024-01-31,Completed,Bank Transfer
ORD000232,,,2024-04-23,Completed,M-Pesa
ORD000233,,,2025-11-03,Completed,M-Pesa
ORD000234,,,2025-04-14,Completed,Bank Transfer
ORD000235,,,2024-08-01,Completed,Card
ORD000236,,,2024-11-09,Completed,M-Pesa
ORD000237,,,2024-07-05,Completed,Cash
ORD000238,,,2024-12-11,Completed,Card
ORD000239,,,2025-10-07,Completed,Card
ORD000240,,,2024-06-17,Completed,Card
ORD000241,,,2024-12-30,Completed,M-Pesa
ORD000242,,,2024-06-09,Completed,M-Pesa
ORD000243,,,2025-01-18,Completed,M-Pesa
ORD000244,,,2024-09-30,Completed,M-Pesa
ORD000245,,,2025-12-14,Completed,Card
ORD000246,,,2024-09-09,Returned,Cash
ORD000247,,,2024-02-08,Completed,M-Pesa
ORD000248,,,2025-10-03,Completed,M-Pesa
ORD000249,,,2025-04-14,Completed,Card
ORD000250,,,2024-03-24,Completed,M-Pesa
ORD000251,,,2024-11-29,Completed,M-Pesa
ORD000252,,,2024-01-08,Returned,Card
ORD000253,,,2024-11-19,Cancelled,M-Pesa
ORD000254,,,2025-11-19,Completed,Card
ORD000255,,,2025-08-12,Completed,M-Pesa
ORD000256,,,2025-10-26,Completed,M-Pesa
ORD000257,,,2024-01-22,Completed,M-Pesa
ORD000258,,,2025-06-08,Completed,Cash
ORD000259,,,2025-10-08,Completed,Cash
ORD000260,,,2024-12-03,Completed,M-Pesa
ORD000261,,,2024-11-14,Completed,M-Pesa
ORD000262,,,2025-05-03,Completed,M-Pesa
ORD000263,,,2024-04-13,Completed,Card
ORD000264,,,2024-06-16,Completed,M-Pesa
ORD000265,,,2024-09-29,Cancelled,Card
ORD000266,,,2024-05-06,Completed,M-Pesa
ORD000267,,,2025-08-04,Completed,Card
ORD000268,,,2024-08-06,Completed,Card
ORD000269,,,2024-06-11,Cancelled,M-Pesa
ORD000270,,,2024-11-30,Completed,M-Pesa
ORD000271,,,2024-12-08,Completed,Cash
ORD000272,,,2025-06-29,Cancelled,M-Pesa
ORD000273,,,2024-03-19,Completed,M-Pesa
ORD000274,,,2025-05-13,Completed,Card
ORD000275,,,2024-04-05,Completed,M-Pesa
ORD000276,,,2024-11-25,Completed,Card
ORD000277,,,2024-11-01,Completed,M-Pesa
ORD000278,,,2024-10-28,Completed,M-Pesa
ORD000279,,,2025-01-17,Completed,Card
ORD000280,,,2024-04-18,Completed,Card
ORD000281,,,2025-06-18,Completed,M-Pesa
ORD000282,,,2025-01-09,Completed,M-Pesa
ORD000283,,,2024-05-26,Cancelled,M-Pesa
ORD000284,,,2025-06-25,Completed,M-Pesa
ORD000285,,,2024-05-04,Completed,M-Pesa
ORD000286,,,2024-06-19,Completed,Card
ORD000287,,,2024-10-19,Completed,Bank Transfer
ORD000288,,,2024-01-03,Completed,M-Pesa
ORD000289,,,2025-05-07,Completed,Card
ORD000290,,,2024-12-16,Returned,Cash
ORD000291,,,2024-08-21,Completed,M-Pesa
ORD000292,,,2025-10-30,Completed,Bank Transfer
ORD000293,,,2025-11-30,Completed,M-Pesa
ORD000294,,,2024-10-22,Completed,M-Pesa
ORD000295,,,2025-03-12,Completed,Card
ORD000296,,,2024-03-20,Completed,M-Pesa
ORD000297,,,2024-09-05,Completed,Cash
ORD000298,,,2025-09-03,Returned,Cash
ORD000299,,,2024-01-28,Completed,M-Pesa
ORD000300,,,2024-04-20,Completed,M-Pesa
ORD000301,,,2025-12-04,Completed,M-Pesa
ORD000302,,,2025-03-09,Completed,M-Pesa
ORD000303,,,2025-12-06,Completed,Card
ORD000304,,,2025-03-07,Completed,M-Pesa
ORD000305,,,2025-01-15,Cancelled,M-Pesa
ORD000306,,,2024-11-27,Completed,Card
ORD000307,,,2024-06-28,Completed,M-Pesa
ORD000308,,,2025-11-12,Completed,Card
ORD000309,,,2024-01-13,Completed,M-Pesa
ORD000310,,,2025-09-17,Completed,M-Pesa
ORD000311,,,2025-11-18,Completed,M-Pesa
ORD000312,,,2025-03-27,Completed,Card
ORD000313,,,2024-07-04,Completed,M-Pesa
ORD000314,,,2025-05-08,Completed,Card
ORD000315,,,2025-07-11,Completed,Card
ORD000316,,,2025-02-27,Completed,Card
ORD000317,,,2024-01-07,Completed,M-Pesa
ORD066242,,,2025-10-26,Completed,M-Pesa
ORD000319,,,2025-12-22,Completed,Bank Transfer
ORD000320,,,2024-09-12,Completed,M-Pesa
ORD000321,,,2025-02-25,Completed,Cash
ORD000322,,,2024-06-01,Completed,M-Pesa
ORD000323,,,2025-12-21,Completed,Bank Transfer
ORD000324,,,2024-12-30,Completed,M-Pesa
ORD000325,,,2025-04-26,Completed,M-Pesa
ORD000326,,,2024-04-10,Completed,M-Pesa
ORD000327,,,2024-06-08,Completed,M-Pesa
ORD000328,,,2024-05-03,Completed,M-Pesa
ORD000329,,,2025-10-30,Completed,M-Pesa
ORD000330,,,2025-06-05,Returned,M-Pesa
ORD000331,,,2025-05-08,Completed,M-Pesa
ORD000332,,,2024-12-01,Completed,Card
ORD000333,,,2025-05-20,Completed,M-Pesa
ORD000334,,,2024-05-01,Completed,Card
ORD000335,,,2025-11-22,Completed,M-Pesa
ORD000336,,,2024-10-06,Completed,M-Pesa
ORD000337,,,2024-11-07,Completed,Card
ORD000338,,,2025-02-28,Completed,M-Pesa
ORD000339,,,2024-02-21,Completed,M-Pesa
ORD000340,,,2025-04-02,Completed,Card
ORD000341,,,2025-06-22,Completed,Card
ORD000342,,,2025-01-18,Completed,Card
ORD000343,,,2025-09-17,Completed,Cash
ORD000344,,,2024-06-19,Completed,M-Pesa
ORD000345,,,2024-07-04,Completed,Cash
ORD000346,,,2025-09-15,Completed,M-Pesa
ORD000347,,,2025-06-28,Completed,M-Pesa
ORD000348,,,2024-12-26,Completed,Card
ORD000349,,,2025-12-09,Completed,M-Pesa
ORD000350,,,2025-10-04,Completed,Cash
ORD000351,,,2024-01-04,Cancelled,Cash
ORD000352,,,2024-03-07,Completed,Bank Transfer
ORD000353,,,2024-11-05,Completed,Bank Transfer
ORD000354,,,2024-05-27,Completed,M-Pesa
ORD000355,,,2025-10-18,Completed,Card
ORD000356,,,2025-02-13,Completed,M-Pesa
ORD000357,,,2024-03-11,Completed,Card
ORD000358,,,2025-07-20,Completed,Card
ORD000359,,,2024-03-27,Completed,Card
ORD000360,,,2025-05-18,Completed,Card
ORD000361,,,2025-08-17,Completed,M-Pesa
ORD000362,,,2024-05-06,Returned,M-Pesa
ORD000363,,,2025-05-15,Completed,Cash
ORD064659,,,2024-04-09,Completed,Cash
ORD000365,,,2025-08-27,Completed,M-Pesa
ORD000366,,,2025-02-13,Completed,M-Pesa
ORD000367,,,2025-11-29,Completed,M-Pesa
ORD000368,,,2024-09-14,Cancelled,Card
ORD000369,,,2024-11-19,Completed,M-Pesa
ORD000370,,,2024-07-06,Completed,Cash
ORD000371,,,2025-11-06,Completed,Card
ORD000372,,,2024-01-29,Completed,Cash
ORD000373,,,2025-12-17,Completed,M-Pesa
ORD000374,,,2025-04-10,Completed,Card
ORD000375,,,2025-04-28,Completed,Card
ORD000376,,,2024-08-29,Completed,Card
ORD000377,,,2024-04-10,Completed,Card
ORD000378,,,2025-11-19,Cancelled,Card
ORD000379,,,2025-01-26,Completed,M-Pesa
ORD000380,,,2024-07-12,Completed,Card
ORD000381,,,2024-11-06,Completed,M-Pesa
ORD000382,,,2025-06-01,Cancelled,Cash
ORD000383,,,2024-05-08,Completed,M-Pesa
ORD000384,,,2025-10-31,Completed,Card
ORD000385,,,2024-04-02,Completed,Cash
ORD000386,,,2025-05-03,Completed,M-Pesa
ORD000387,,,2024-01-23,Completed,Cash
ORD081522,,,2024-09-12,Completed,M-Pesa
ORD000389,,,2025-10-02,Completed,Card
ORD000390,,,2024-08-31,Completed,Card
ORD000391,,,2025-04-08,Completed,M-Pesa
ORD000392,,,2025-02-12,Completed,M-Pesa
ORD000393,,,2024-05-08,Cancelled,Bank Transfer
ORD000394,,,2024-06-25,Completed,M-Pesa
ORD000395,,,2024-03-13,Completed,Card
ORD000396,,,2024-05-10,Completed,Bank Transfer
ORD000397,,,2025-01-17,Completed,M-Pesa
ORD000398,,,2024-05-27,Completed,M-Pesa
ORD000399,,,2024-06-30,Completed,M-Pesa
ORD000400,,,2025-11-13,Completed,Cash
ORD000401,,,2025-03-10,Completed,Card
ORD000402,,,2024-03-29,Completed,M-Pesa
ORD000403,,,2024-09-18,Completed,Cash
ORD000404,,,2024-12-02,Completed,M-Pesa
ORD000405,,,2025-11-13,Completed,Cash
ORD000406,,,2025-03-23,Completed,M-Pesa
ORD000407,,,2024-04-26,Completed,M-Pesa
ORD000408,,,2025-06-30,Completed,M-Pesa
ORD000409,,,2024-09-26,Completed,M-Pesa
ORD000410,,,2025-05-28,Completed,Card
ORD000411,,,2025-02-20,Returned,M-Pesa
ORD000412,,,2024-01-27,Completed,Card
ORD000413,,,2025-07-29,Completed,Card
ORD000414,,,2025-07-09,Completed,M-Pesa
ORD000415,,,2024-03-30,Completed,M-Pesa
ORD000416,,,2024-02-23,Completed,M-Pesa
ORD000417,,,2025-04-23,Completed,Card
ORD000418,,,2024-10-29,Completed,M-Pesa
ORD000419,,,2025-03-28,Completed,Cash
ORD000420,,,2025-12-12,Completed,M-Pesa
ORD000421,,,2024-09-11,Completed,Cash
ORD000422,,,2024-02-09,Returned,M-Pesa
ORD000423,,,2025-08-09,Returned,M-Pesa
ORD000424,,,2024-02-20,Completed,M-Pesa
ORD000425,,,2025-05-13,Completed,Card
ORD000426,,,2025-03-08,Completed,Card
ORD000427,,,2024-05-16,Completed,M-Pesa
ORD000428,,,2025-01-08,Completed,Cash
ORD000429,,,2025-05-29,Completed,M-Pesa
ORD000430,,,2024-07-04,Completed,Cash
ORD000431,,,2024-04-24,Completed,M-Pesa
ORD000432,,,2024-09-09,Completed,Card
ORD000433,,,2024-10-16,Completed,M-Pesa
ORD000434,,,2025-08-07,Completed,Card
ORD000435,,,2025-06-08,Completed,Cash
ORD000436,,,2024-03-09,Completed,Card
ORD000437,,,2024-03-08,Completed,M-Pesa
ORD000438,,,2025-05-06,Completed,Bank Transfer
ORD000439,,,2024-06-21,Completed,M-Pesa
ORD000440,,,2025-07-30,Completed,Card
ORD000441,,,2024-03-09,Completed,M-Pesa
ORD089019,,,2024-03-18,Completed,Card
ORD000443,,,2025-11-26,Completed,M-Pesa
ORD000444,,,2025-04-30,Completed,M-Pesa
ORD000445,,,2024-12-31,Completed,Card
ORD000446,,,2025-08-27,Completed,Bank Transfer
ORD000447,,,2025-04-15,Completed,M-Pesa
ORD000448,,,2024-01-29,Completed,M-Pesa
ORD000449,,,2024-06-25,Completed,M-Pesa
ORD000450,,,2024-10-30,Completed,Bank Transfer
ORD000451,,,2024-03-02,Completed,Card
ORD000452,,,2024-02-23,Completed,Card
ORD000453,,,2025-07-30,Completed,M-Pesa
ORD000454,,,2024-05-05,Completed,M-Pesa
ORD000455,,,2024-03-16,Completed,M-Pesa
ORD000456,,,2024-06-20,Completed,M-Pesa
ORD000457,,,2024-12-27,Completed,M-Pesa
ORD000458,,,2025-12-19,Completed,M-Pesa
ORD000459,,,2025-05-31,Completed,Card
ORD000460,,,2025-03-06,Cancelled,M-Pesa
ORD000461,,,2025-11-24,Completed,Card
ORD000462,,,2024-05-02,Completed,M-Pesa
ORD000463,,,2025-06-15,Cancelled,Card
ORD000464,,,2025-12-10,Completed,M-Pesa
ORD000465,,,2024-11-25,Completed,M-Pesa
ORD000466,,,2024-07-27,Completed,Card
ORD000467,,,2025-03-12,Completed,M-Pesa
ORD000468,,,2024-03-12,Completed,Cash
ORD000469,,,2024-08-19,Completed,M-Pesa
ORD000470,,,2024-11-16,Completed,Card
ORD000471,,,2025-11-04,Completed,Card
ORD000472,,,2024-09-29,Completed,Card
ORD000473,,,2025-11-28,Completed,M-Pesa
ORD000474,,,2025-12-13,Cancelled,M-Pesa
ORD000475,,,2025-12-29,Completed,Card
ORD000476,,,2024-12-08,Completed,M-Pesa
ORD000477,,,2025-03-09,Completed,M-Pesa
ORD000478,,,2024-09-17,Completed,Card
ORD000479,,,2024-05-17,Completed,M-Pesa
ORD000480,,,2025-10-18,Completed,M-Pesa
ORD024242,,,2025-02-26,Completed,Card
ORD000482,,,2025-09-04,Completed,Card
ORD000483,,,2025-01-23,Completed,M-Pesa
ORD000484,,,2024-09-10,Completed,M-Pesa
ORD000485,,,2024-12-13,Completed,Card
ORD000486,,,2025-11-28,Completed,M-Pesa
ORD000487,,,2024-08-18,Completed,M-Pesa
ORD000488,,,2024-12-08,Completed,Bank Transfer
ORD000489,,,2024-01-13,Completed,Card
ORD000490,,,2024-02-22,Completed,Card
ORD000491,,,2025-05-15,Cancelled,Card
ORD000492,,,2025-04-02,Completed,M-Pesa
ORD000493,,,2025-07-27,Completed,Cash
ORD000494,,,2025-10-26,Completed,M-Pesa
ORD000495,,,2024-06-22,Completed,Bank Transfer
ORD000496,,,2024-11-05,Completed,M-Pesa
ORD000497,,,2025-08-04,Completed,Card
ORD000498,,,2025-10-04,Completed,Cash
ORD000499,,,2025-10-18,Completed,M-Pesa
ORD000500,,,2024-08-29,Completed,M-Pesa
ORD000501,,,2024-11-29,Completed,M-Pesa
ORD000502,,,2025-11-28,Completed,Card
ORD000503,,,2024-09-09,Completed,M-Pesa
ORD000504,,,2025-09-15,Completed,M-Pesa
ORD000505,,,2025-04-10,Completed,M-Pesa
ORD000506,,,2025-03-29,Completed,Card
ORD000507,,,2025-05-12,Completed,M-Pesa
ORD000508,,,2025-12-28,Completed,M-Pesa
ORD000509,,,2025-09-08,Completed,Card
ORD000510,,,2024-04-05,Completed,Bank Transfer
ORD000511,,,2024-11-09,Cancelled,M-Pesa
ORD129439,,,2024-09-21,Completed,Cash
ORD000513,,,2024-12-25,Cancelled,Cash
ORD000514,,,2024-06-27,Returned,Card
ORD000515,,,2024-11-19,Completed,M-Pesa
ORD000516,,,2025-02-13,Completed,M-Pesa
ORD000517,,,2025-08-08,Completed,Card
ORD000518,,,2024-12-08,Completed,M-Pesa
ORD000519,,,2024-06-18,Completed,M-Pesa
ORD000520,,,2024-10-28,Completed,Cash
ORD000521,,,2024-07-26,Completed,M-Pesa
ORD000522,,,2025-01-17,Completed,Card
ORD000523,,,2025-12-11,Completed,M-Pesa
ORD000524,,,2024-06-18,Completed,Card
ORD000525,,,2025-08-26,Completed,Bank Transfer
ORD000526,,,2024-08-31,Completed,M-Pesa
ORD000527,,,2025-06-30,Completed,Card
ORD000528,,,2025-09-02,Completed,M-Pesa
ORD000529,,,2025-01-19,Completed,Card
ORD000530,,,2025-08-03,Completed,M-Pesa
ORD000531,,,2025-04-29,Completed,Card
ORD000532,,,2025-06-11,Returned,M-Pesa
ORD000533,,,2024-03-10,Completed,M-Pesa
ORD000534,,,2024-06-29,Completed,Card
ORD000535,,,2025-07-20,Completed,M-Pesa
ORD000536,,,2024-01-08,Completed,M-Pesa
ORD000537,,,2024-10-01,Completed,Cash
ORD000538,,,2024-08-23,Completed,M-Pesa
ORD000539,,,2025-01-09,Completed,Card
ORD000540,,,2025-12-30,Completed,M-Pesa
ORD000541,,,2024-11-28,Completed,Bank Transfer
ORD000542,,,2024-01-12,Returned,M-Pesa
ORD000543,,,2025-12-25,Completed,Card
ORD000544,,,2024-02-20,Completed,Card
ORD000545,,,2024-12-26,Completed,Bank Transfer
ORD000546,,,2025-10-23,Completed,Card
ORD000547,,,2024-10-24,Completed,M-Pesa
ORD000548,,,2024-07-06,Completed,M-Pesa
ORD000549,,,2024-07-16,Completed,M-Pesa
ORD000550,,,2025-09-07,Completed,Card
ORD000551,,,2025-05-23,Completed,M-Pesa
ORD000552,,,2025-10-20,Cancelled,Card
ORD000553,,,2024-12-25,Cancelled,Card
ORD000554,,,2025-11-11,Completed,M-Pesa
ORD000555,,,2024-06-16,Cancelled,Card
ORD000556,,,2025-02-21,Completed,Card
ORD000557,,,2024-07-23,Completed,Card
ORD000558,,,2025-02-07,Completed,M-Pesa
ORD000559,,,2024-05-07,Completed,M-Pesa
ORD000560,,,2025-11-07,Completed,Card
ORD000561,,,2025-10-16,Completed,M-Pesa
ORD000562,,,2024-11-28,Cancelled,M-Pesa
ORD000563,,,2025-10-10,Completed,Cash
ORD000564,,,2024-12-16,Cancelled,M-Pesa
ORD000565,,,2024-08-11,Completed,Card
