target_id,store_id,month,revenue_target,profit_target
TGT00117,ST017,2024-06-01,2867.57,533.32
TGT00118,ST018,2024-06-01,2523.46,594.22
TGT00119,ST019,2024-06-01,2179.35,395.5
TGT00120,ST020,2024-06-01,2093.33,409.03
TGT00121,ST001,2024-07-01,3948.64,915.91
TGT00122,ST002,2024-07-01,3656.15,814.97
TGT00123,ST003,2024-07-01,3363.66,643.06
TGT00124,ST004,2024-07-01,3071.17,722.54
TGT00125,ST005,2024-07-01,2778.68,664.35
TGT00126,ST006,2024-07-01,2632.43,591.77
TGT00127,ST007,2024-07-01,2398.44,519.49
TGT00128,ST008,2024-07-01,3217.41,645.34
TGT00129,ST009,2024-07-01,2866.42,601.5
TGT00130,ST010,2024-07-01,2105.94,425.7
TGT00131,ST011,2024-07-01,2983.42,605.5
TGT00132,ST012,2024-07-01,2690.93,601.46
TGT00133,ST013,2024-07-01,2281.44,447.17
TGT00134,ST014,2024-07-01,2339.94,516.34
TGT00135,ST015,2024-07-01,3158.92,708.65
TGT00136,ST016,2024-07-01,2749.43,495.16
TGT00137,ST017,2024-07-01,2924.92,683.73
TGT00138,ST018,2024-07-01,2573.93,581.84
TGT00139,ST019,2024-07-01,2222.94,528.25
TGT00140,ST020,2024-07-01,2135.19,444.98
TGT00141,ST001,2024-08-01,4064.78,767.48
TGT00142,ST002,2024-08-01,3763.69,714.44
TGT00143,ST003,2024-08-01,3462.59,766.93
TGT00144,ST004,2024-08-01,3161.5,578.87
TGT00145,ST005,2024-08-01,2860.4,577.46
TGT00146,ST006,2024-08-01,2709.85,516.26
TGT00147,ST007,2024-08-01,2468.98,512.28
TGT00148,ST008,2024-08-01,3312.04,766.77
TGT00149,ST009,2024-08-01,2950.73,586.76
TGT00150,ST010,2024-08-01,2167.88,408.2
TGT00151,ST011,2024-08-01,3071.17,612.6
TGT00152,ST012,2024-08-01,2770.07,638.42
TGT00153,ST013,2024-08-01,2348.54,425.64
TGT00154,ST014,2024-08-01,2408.76,480.07
TGT00155,ST015,2024-08-01,3251.82,682.47
TGT00156,ST016,2024-08-01,2830.29,606.12
TGT00157,ST017,2024-08-01,3010.95,573.76
TGT00158,ST018,2024-08-01,2649.64,616.85
TGT00159,ST019,2024-08-01,2288.32,532.84
TGT00160,ST020,2024-08-01,2197.99,428.65
TGT00161,ST001,2024-09-01,3871.22,909.18
TGT00162,ST002,2024-09-01,3584.46,827.38
TGT00163,ST003,2024-09-01,3297.71,775.95
TGT00164,ST004,2024-09-01,3010.95,655.49
TGT00165,ST005,2024-09-01,2724.19,613.95
TGT00166,ST006,2024-09-01,2580.81,516.4
TGT00167,ST007,2024-09-01,2351.41,547.97
TGT00168,ST008,2024-09-01,3154.33,617.9
TGT00169,ST009,2024-09-01,2810.22,530.18
TGT00170,ST010,2024-09-01,2064.65,397.0
TGT00171,ST011,2024-09-01,2924.92,582.81
TGT00172,ST012,2024-09-01,2638.16,630.62
TGT00173,ST013,2024-09-01,2236.7,495.13
TGT00174,ST014,2024-09-01,2294.06,461.67
TGT00175,ST015,2024-09-01,3096.98,597.28
TGT00176,ST016,2024-09-01,2695.52,524.09
TGT00177,ST017,2024-09-01,2867.57,559.84
TGT00178,ST018,2024-09-01,2523.46,513.99
TGT00179,ST019,2024-09-01,2179.35,451.47
TGT00180,ST020,2024-09-01,2093.33,416.45
TGT00181,ST001,2024-10-01,4180.92,930.18
TGT00182,ST002,2024-10-01,3871.22,794.29
TGT00183,ST003,2024-10-01,3561.52,849.19
TGT00184,ST004,2024-10-01,3251.82,774.72
TGT00185,ST005,2024-10-01,2942.13,686.8
TGT00186,ST006,2024-10-01,2787.28,639.98
TGT00187,ST007,2024-10-01,2539.52,557.02
TGT00188,ST008,2024-10-01,3406.67,759.37
TGT00189,ST009,2024-10-01,3035.04,556.3
TGT00190,ST010,2024-10-01,2229.82,479.97
TGT00191,ST011,2024-10-01,3158.92,612.87
TGT00192,ST012,2024-10-01,2849.22,543.24
TGT00193,ST013,2024-10-01,2415.64,441.43
TGT00194,ST014,2024-10-01,2477.58,480.39
TGT00195,ST015,2024-10-01,3344.73,746.56
TGT00196,ST016,2024-10-01,2911.16,543.5
TGT00197,ST017,2024-10-01,3096.98,563.13
TGT00198,ST018,2024-10-01,2725.34,526.97
TGT00199,ST019,2024-10-01,2353.7,472.52
TGT00200,ST020,2024-10-01,2260.79,465.82
TGT00201,ST001,2024-11-01,4568.04,925.05
TGT00202,ST002,2024-11-01,4229.67,979.6
TGT00203,ST003,2024-11-01,3891.29,769.84
TGT00204,ST004,2024-11-01,3552.92,841.28
TGT00205,ST005,2024-11-01,3214.55,679.65
TGT00206,ST006,2024-11-01,3045.36,609.34
TGT00207,ST007,2024-11-01,2774.66,650.51
TGT00208,ST008,2024-11-01,3722.11,881.49
TGT00209,ST009,2024-11-01,3316.06,617.43
TGT00210,ST010,2024-11-01,2436.29,463.56
TGT00211,ST011,2024-11-01,3451.41,704.18
TGT00212,ST012,2024-11-01,3113.03,589.42
TGT00213,ST013,2024-11-01,2639.31,620.76
TGT00214,ST014,2024-11-01,2706.99,534.12
TGT00215,ST015,2024-11-01,3654.43,680.09
TGT00216,ST016,2024-11-01,3180.71,617.99
TGT00217,ST017,2024-11-01,3383.73,667.73
TGT00218,ST018,2024-11-01,2977.69,546.73
TGT00219,ST019,2024-11-01,2571.64,612.32
TGT00220,ST020,2024-11-01,2470.13,478.25
TGT00221,ST001,2024-12-01,5032.59,988.98
TGT00222,ST002,2024-12-01,4659.8,983.05
TGT00223,ST003,2024-12-01,4287.02,908.84
TGT00224,ST004,2024-12-01,3914.23,787.19
TGT00225,ST005,2024-12-01,3541.45,665.4
TGT00226,ST006,2024-12-01,3355.06,669.88
TGT00227,ST007,2024-12-01,3056.83,588.67
TGT00228,ST008,2024-12-01,4100.63,829.65
TGT00229,ST009,2024-12-01,3653.28,817.63
TGT00230,ST010,2024-12-01,2684.05,531.08
TGT00231,ST011,2024-12-01,3802.4,840.47
TGT00232,ST012,2024-12-01,3429.61,821.34
TGT00233,ST013,2024-12-01,2907.72,592.53
TGT00234,ST014,2024-12-01,2982.27,570.91
TGT00235,ST015,2024-12-01,4026.07,881.5
TGT00236,ST016,2024-12-01,3504.17,779.35
TGT00237,ST017,2024-12-01,3727.84,701.82
TGT00238,ST018,2024-12-01,3280.5,640.44
TGT00239,ST019,2024-12-01,2833.16,581.27
TGT00240,ST020,2024-12-01,2721.32,524.04
TGT00241,ST001,2025-01-01,3762.83,771.81
TGT00242,ST002,2025-01-01,3484.1,697.61
TGT00243,ST003,2025-01-01,3205.37,693.2
TGT00244,ST004,2025-01-01,2926.64,577.59
TGT00245,ST005,2025-01-01,2647.91,503.8
TGT00246,ST006,2025-01-01,2508.55,521.42
TGT00247,ST007,2025-01-01,2285.57,429.2
TGT00248,ST008,2025-01-01,3066.01,593.66
TGT00249,ST009,2025-01-01,2731.53,622.02
TGT00250,ST010,2025-01-01,2006.84,399.99
TGT00251,ST011,2025-01-01,2843.02,548.08
TGT00252,ST012,2025-01-01,2564.3,463.5
TGT00253,ST013,2025-01-01,2174.08,494.18
TGT00254,ST014,2025-01-01,2229.82,486.36
TGT00255,ST015,2025-01-01,3010.26,721.25
TGT00256,ST016,2025-01-01,2620.04,576.58
TGT00257,ST017,2025-01-01,2787.28,544.97
TGT00258,ST018,2025-01-01,2452.81,515.68
TGT00259,ST019,2025-01-01,2118.33,438.06
TGT00260,ST020,2025-01-01,2034.71,448.27
TGT00261,ST001,2025-02-01,3846.44,858.63
TGT00262,ST002,2025-02-01,3561.52,816.97
TGT00263,ST003,2025-02-01,3276.6,636.04
TGT00264,ST004,2025-02-01,2991.68,702.73
TGT00265,ST005,2025-02-01,2706.76,626.95
TGT00266,ST006,2025-02-01,2564.3,524.08
TGT00267,ST007,2025-02-01,2336.36,520.2
TGT00268,ST008,2025-02-01,3134.14,625.56
TGT00269,ST009,2025-02-01,2792.23,665.57
TGT00270,ST010,2025-02-01,2051.44,484.18
TGT00271,ST011,2025-02-01,2906.2,566.41
TGT00272,ST012,2025-02-01,2621.28,520.71
TGT00273,ST013,2025-02-01,2222.39,431.95
TGT00274,ST014,2025-02-01,2279.37,451.74
TGT00275,ST015,2025-02-01,3077.16,712.31
TGT00276,ST016,2025-02-01,2678.26,549.3
TGT00277,ST017,2025-02-01,2849.22,567.34
TGT00278,ST018,2025-02-01,2507.31,466.33
TGT00279,ST019,2025-02-01,2165.41,430.07
TGT00280,ST020,2025-02-01,2079.93,453.98
TGT00281,ST001,2025-03-01,4097.3,868.67
TGT00282,ST002,2025-03-01,3793.8,722.71
TGT00283,ST003,2025-03-01,3490.29,823.78
TGT00284,ST004,2025-03-01,3186.79,763.61
TGT00285,ST005,2025-03-01,2883.28,540.35
TGT00286,ST006,2025-03-01,2731.53,544.52
TGT00287,ST007,2025-03-01,2488.73,509.78
TGT00288,ST008,2025-03-01,3338.54,682.37
TGT00289,ST009,2025-03-01,2974.34,704.06
TGT00290,ST010,2025-03-01,2185.23,395.39
TGT00291,ST011,2025-03-01,3095.74,562.62
TGT00292,ST012,2025-03-01,2792.23,642.84
TGT00293,ST013,2025-03-01,2367.33,479.59
TGT00294,ST014,2025-03-01,2428.03,566.26
TGT00295,ST015,2025-03-01,3277.84,675.33
TGT00296,ST016,2025-03-01,2852.93,536.85
TGT00297,ST017,2025-03-01,3035.04,648.12
TGT00298,ST018,2025-03-01,2670.83,544.44
TGT00299,ST019,2025-03-01,2306.63,499.71
TGT00300,ST020,2025-03-01,2215.58,453.7
TGT00301,ST001,2025-04-01,4180.92,888.78
TGT00302,ST002,2025-04-01,3871.22,807.98
TGT00303,ST003,2025-04-01,3561.52,853.43
TGT00304,ST004,2025-04-01,3251.82,722.98
TGT00305,ST005,2025-04-01,2942.13,690.36
TGT00306,ST006,2025-04-01,2787.28,593.56
TGT00307,ST007,2025-04-01,2539.52,494.63
TGT00308,ST008,2025-04-01,3406.67,619.71
TGT00309,ST009,2025-04-01,3035.04,565.83
TGT00310,ST010,2025-04-01,2229.82,438.29
TGT00311,ST011,2025-04-01,3158.92,601.21
TGT00312,ST012,2025-04-01,2849.22,584.13
TGT00313,ST013,2025-04-01,2415.64,553.09
TGT00314,ST014,2025-04-01,2477.58,584.69
TGT00315,ST015,2025-04-01,3344.73,733.36
TGT00316,ST016,2025-04-01,2911.16,695.15
TGT00317,ST017,2025-04-01,3096.98,685.18
TGT00318,ST018,2025-04-01,2725.34,590.89
TGT00319,ST019,2025-04-01,2353.7,493.77
TGT00320,ST020,2025-04-01,2260.79,428.51
TGT00321,ST001,2025-05-01,4348.15,1000.96
TGT00322,ST002,2025-05-01,4026.07,922.68
TGT00323,ST003,2025-05-01,3703.98,778.9
TGT00324,ST004,2025-05-01,3381.9,785.53
TGT00325,ST005,2025-05-01,3059.81,715.82
TGT00326,ST006,2025-05-01,2898.77,623.04
TGT00327,ST007,2025-05-01,2641.1,503.36
TGT00328,ST008,2025-05-01,3542.94,683.36
TGT00329,ST009,2025-05-01,3156.44,743.15
TGT00330,ST010,2025-05-01,2319.02,506.23
TGT00331,ST011,2025-05-01,3285.27,637.64
TGT00332,ST012,2025-05-01,2963.19,636.87
TGT00333,ST013,2025-05-01,2512.27,484.22
TGT00334,ST014,2025-05-01,2576.68,473.96
TGT00335,ST015,2025-05-01,3478.52,700.89
TGT00336,ST016,2025-05-01,3027.6,595.16
TGT00337,ST017,2025-05-01,3220.86,602.95
TGT00338,ST018,2025-05-01,2834.35,593.46
TGT00339,ST019,2025-05-01,2447.85,500.41
TGT00340,ST020,2025-05-01,2351.22,532.79
TGT00341,ST001,2025-06-01,4180.92,903.39
TGT00342,ST002,2025-06-01,3871.22,740.8
TGT00343,ST003,2025-06-01,3561.52,802.09
TGT00344,ST004,2025-06-01,3251.82,626.98
TGT00345,ST005,2025-06-01,2942.13,612.0
TGT00346,ST006,2025-06-01,2787.28,565.17
TGT00347,ST007,2025-06-01,2539.52,518.53
TGT00348,ST008,2025-06-01,3406.67,624.61
TGT00349,ST009,2025-06-01,3035.04,567.73
TGT00350,ST010,2025-06-01,2229.82,416.76
TGT00351,ST011,2025-06-01,3158.92,648.31
TGT00352,ST012,2025-06-01,2849.22,549.03
TGT00353,ST013,2025-06-01,2415.64,555.87
TGT00354,ST014,2025-06-01,2477.58,468.35
TGT00355,ST015,2025-06-01,3344.73,767.93
TGT00356,ST016,2025-06-01,2911.16,573.87
TGT00357,ST017,2025-06-01,3096.98,678.11
TGT00358,ST018,2025-06-01,2725.34,534.95
TGT00359,ST019,2025-06-01,2353.7,544.42
TGT00360,ST020,2025-06-01,2260.79,410.13
TGT00361,ST001,2025-07-01,4264.54,821.25
TGT00362,ST002,2025-07-01,3948.64,934.1
TGT00363,ST003,2025-07-01,3632.75,682.58
TGT00364,ST004,2025-07-01,3316.86,792.47
TGT00365,ST005,2025-07-01,3000.97,682.53
TGT00366,ST006,2025-07-01,2843.02,599.97
TGT00367,ST007,2025-07-01,2590.31,543.96
TGT00368,ST008,2025-07-01,3474.81,807.85
TGT00369,ST009,2025-07-01,3095.74,604.53
TGT00370,ST010,2025-07-01,2274.42,542.58
TGT00371,ST011,2025-07-01,3222.09,756.79
TGT00372,ST012,2025-07-01,2906.2,547.16
TGT00373,ST013,2025-07-01,2463.95,468.37
TGT00374,ST014,2025-07-01,2527.13,544.34
TGT00375,ST015,2025-07-01,3411.63,694.06
TGT00376,ST016,2025-07-01,2969.38,560.22
TGT00377,ST017,2025-07-01,3158.92,679.01
TGT00378,ST018,2025-07-01,2779.85,622.42
TGT00379,ST019,2025-07-01,2400.78,551.34
TGT00380,ST020,2025-07-01,2306.01,478.93
TGT00381,ST001,2025-08-01,4389.96,957.5
TGT00382,ST002,2025-08-01,4064.78,828.7
TGT00383,ST003,2025-08-01,3739.6,797.32
TGT00384,ST004,2025-08-01,3414.42,715.85
TGT00385,ST005,2025-08-01,3089.23,734.39
TGT00386,ST006,2025-08-01,2926.64,663.02
TGT00387,ST007,2025-08-01,2666.5,598.69
TGT00388,ST008,2025-08-01,3577.01,812.18
TGT00389,ST009,2025-08-01,3186.79,750.12
TGT00390,ST010,2025-08-01,2341.31,424.7
TGT00391,ST011,2025-08-01,3316.86,750.59
TGT00392,ST012,2025-08-01,2991.68,711.42
TGT00393,ST013,2025-08-01,2536.42,514.17
TGT00394,ST014,2025-08-01,2601.46,580.47
TGT00395,ST015,2025-08-01,3511.97,670.16
TGT00396,ST016,2025-08-01,3056.72,653.74
TGT00397,ST017,2025-08-01,3251.82,619.56
TGT00398,ST018,2025-08-01,2861.61,576.97
TGT00399,ST019,2025-08-01,2471.39,569.64
TGT00400,ST020,2025-08-01,2373.83,487.64
TGT00401,ST001,2025-09-01,4180.92,785.85
TGT00402,ST002,2025-09-01,3871.22,830.98
TGT00403,ST003,2025-09-01,3561.52,641.19
TGT00404,ST004,2025-09-01,3251.82,609.73
TGT00405,ST005,2025-09-01,2942.13,641.79
TGT00406,ST006,2025-09-01,2787.28,625.3
TGT00407,ST007,2025-09-01,2539.52,509.4
TGT00408,ST008,2025-09-01,3406.67,703.43
TGT00409,ST009,2025-09-01,3035.04,631.98
TGT00410,ST010,2025-09-01,2229.82,534.15
TGT00411,ST011,2025-09-01,3158.92,593.34
TGT00412,ST012,2025-09-01,2849.22,519.56
TGT00413,ST013,2025-09-01,2415.64,531.7
TGT00414,ST014,2025-09-01,2477.58,532.89
TGT00415,ST015,2025-09-01,3344.73,630.0
TGT00416,ST016,2025-09-01,2911.16,631.64
TGT00417,ST017,2025-09-01,3096.98,629.98
TGT00418,ST018,2025-09-01,2725.34,627.09
TGT00419,ST019,2025-09-01,2353.7,563.95
TGT00420,ST020,2025-09-01,2260.79,539.78
TGT00421,ST001,2025-10-01,4515.39,900.93
TGT00422,ST002,2025-10-01,4180.92,862.46
TGT00423,ST003,2025-10-01,3846.44,875.28
TGT00424,ST004,2025-10-01,3511.97,653.96
TGT00425,ST005,2025-10-01,3177.5,658.91
TGT00426,ST006,2025-10-01,3010.26,666.62
TGT00427,ST007,2025-10-01,2742.68,554.38
TGT00428,ST008,2025-10-01,3679.21,874.57
TGT00429,ST009,2025-10-01,3277.84,636.85
TGT00430,ST010,2025-10-01,2408.21,493.81
TGT00431,ST011,2025-10-01,3411.63,619.39
TGT00432,ST012,2025-10-01,3077.16,685.77
TGT00433,ST013,2025-10-01,2608.89,624.7
TGT00434,ST014,2025-10-01,2675.79,615.67
TGT00435,ST015,2025-10-01,3612.31,705.45
TGT00436,ST016,2025-10-01,3144.05,646.98
TGT00437,ST017,2025-10-01,3344.73,732.94
TGT00438,ST018,2025-10-01,2943.37,651.4
TGT00439,ST019,2025-10-01,2542.0,487.39
TGT00440,ST020,2025-10-01,2441.66,523.12
TGT00441,ST001,2025-11-01,4933.48,1104.88
TGT00442,ST002,2025-11-01,4568.04,941.97
TGT00443,ST003,2025-11-01,4202.6,799.55
TGT00444,ST004,2025-11-01,3837.15,823.84
TGT00445,ST005,2025-11-01,3471.71,818.23
TGT00446,ST006,2025-11-01,3288.99,651.37
TGT00447,ST007,2025-11-01,2996.63,674.78
TGT00448,ST008,2025-11-01,4019.87,808.83
TGT00449,ST009,2025-11-01,3581.34,660.05
TGT00450,ST010,2025-11-01,2631.19,571.19
TGT00451,ST011,2025-11-01,3727.52,816.7
TGT00452,ST012,2025-11-01,3362.08,610.9
TGT00453,ST013,2025-11-01,2850.46,672.48
TGT00454,ST014,2025-11-01,2923.55,594.12
TGT00455,ST015,2025-11-01,3946.79,860.6
TGT00456,ST016,2025-11-01,3435.17,695.82
TGT00457,ST017,2025-11-01,3654.43,771.14
TGT00458,ST018,2025-11-01,3215.9,655.65
TGT00459,ST019,2025-11-01,2777.37,509.32
TGT00460,ST020,2025-11-01,2667.74,524.94
TGT00461,ST001,2025-12-01,5435.19,1026.2
TGT00462,ST002,2025-12-01,5032.59,1073.84
TGT00463,ST003,2025-12-01,4629.98,1074.44
TGT00464,ST004,2025-12-01,4227.37,835.04
TGT00465,ST005,2025-12-01,3824.77,838.1
TGT00466,ST006,2025-12-01,3623.46,682.89
TGT00467,ST007,2025-12-01,3301.38,751.92
TGT00468,ST008,2025-12-01,4428.68,838.22
TGT00469,ST009,2025-12-01,3945.55,817.87
TGT00470,ST010,2025-12-01,2898.77,675.98
TGT00471,ST011,2025-12-01,4106.59,913.97
TGT00472,ST012,2025-12-01,3703.98,822.96
TGT00473,ST013,2025-12-01,3140.33,644.12
TGT00474,ST014,2025-12-01,3220.86,598.78
TGT00475,ST015,2025-12-01,4348.15,875.08
TGT00476,ST016,2025-12-01,3784.5,761.8
TGT00477,ST017,2025-12-01,4026.07,727.54
TGT00478,ST018,2025-12-01,3542.94,705.31
TGT00479,ST019,2025-12-01,3059.81,725.2
TGT00480,ST020,2025-12-01,2939.03,623.77
