order_id,customer_id,order_date,store_id,status
O000114,C00875,2025-01-17,S03,Completed
O000115,C01136,2024-01-16,S02,Completed
O000116,C00471,2025-03-14,S09,Completed
O000117,C00091,2025-07-21,S03,Cancelled
O000118,C00530,2025-09-08,S08,Completed
O000119,C00661,2024-05-11,S02,Completed
O000120,C00739,2025-07-13,S03,Completed
O000121,C00726,2024-09-04,S01,Completed
O000122,C00872,2024-09-29,S06,Completed
O000123,C00192,2025-09-14,S07,Completed
O000124,C00138,2024-12-14,S04,Completed
O000125,C00345,2025-04-28,S01,Returned
O000126,C01009,2025-07-03,S03,Completed
O000127,C00503,2024-12-22,S09,Completed
O000128,C00203,2024-11-13,S05,Completed
O000129,C00573,2025-09-24,S06,Completed
O000130,C00192,2024-02-17,S04,Completed
O000131,C00005,2024-01-10,S01,Completed
O000132,C00311,2024-08-20,S05,Completed
O000133,C00549,2024-02-05,S05,Completed
O000134,C00056,2025-02-16,S05,Completed
O000135,C00443,2025-04-06,S06,Completed
O000136,C00870,2024-01-04,S02,Completed
O000137,C00585,2024-02-13,S01,Completed
O000138,C00752,2025-07-21,S02,Completed
O000139,C00360,2025-07-07,S10,Completed
O000140,C00819,2024-09-11,S06,Returned
O000141,C00030,2024-04-23,S05,Completed
O000142,C00108,2025-01-31,S05,Completed
O000143,C00844,2024-06-22,S06,Cancelled
O000144,C00717,2024-09-11,S10,Completed
O000145,C00891,2025-04-10,S07,Returned
O000146,C00960,2024-10-03,S09,Completed
O000147,C00893,2025-04-08,S07,Completed
O000148,C00732,2025-05-16,S02,Completed
O000149,C00606,2025-03-16,S06,Completed
O000150,C00457,2024-03-09,S09,Completed
O000151,C00615,2025-05-23,S07,Completed
O000152,C00698,2024-11-21,S02,Completed
O000153,C00674,2024-03-07,S03,Completed
O000154,C00543,2024-10-30,S08,Completed
O000155,C00857,2025-04-28,S09,Cancelled
O000156,C00897,2025-07-01,S04,Completed
O000157,C00278,2025-02-20,S09,Returned
O000158,C00552,2024-06-07,S02,Completed
O000159,C00111,2024-05-28,S05,Completed
O000160,C00385,2024-01-27,S02,Completed
O000161,C00761,2025-08-06,S01,Completed
O000162,C00694,2024-09-04,S05,Completed
O000163,C00405,2024-04-10,S02,Completed
O000164,C00022,2025-12-02,S07,Completed
O000165,C00678,2024-04-05,S08,Completed
O000166,C00611,2025-01-18,S02,Cancelled
O000167,C00008,2024-10-08,S07,Completed
O000168,C00702,2024-11-17,S04,Completed
O000169,C00529,2025-01-30,S01,Completed
O000170,C00602,2024-10-04,S03,Completed
O000171,C00657,2025-06-12,S01,Returned
O000172,C00166,2024-09-19,S05,Completed
O000173,C00849,2025-09-10,S08,Completed
O000174,C00496,2025-08-02,S01,Completed
O000175,C00590,2025-10-01,S09,Completed
O000176,C00429,2024-10-19,S03,Completed
O000177,C00774,2024-10-20,S05,Completed
O000178,C00163,2025-08-30,S09,Completed
O000179,C00366,2025-01-29,S05,Completed
O000180,C00072,2025-05-27,S09,Completed
O000181,C00655,2024-06-28,S10,Completed
O000182,C00269,2025-11-23,S08,Completed
O000183,C00415,2024-08-22,S07,Completed
O000184,C01016,2024-12-02,S01,Completed
O000185,C00675,2024-01-08,S04,Completed
O000186,C01084,2025-03-18,S09,Completed
O000187,C00006,2025-06-22,S10,Completed
O000188,C00982,2025-10-19,S08,Cancelled
O000189,C00570,2024-03-31,S04,Completed
O000190,C00407,2024-09-28,S01,Completed
O000191,C00026,2024-01-05,S10,Completed
O000192,C01029,2025-08-16,S04,Completed
O000193,C00986,2024-08-06,S03,Completed
O000194,C00390,2024-04-27,S06,Completed
O000195,C00710,2025-08-15,S05,Completed
O000196,C00571,2025-08-04,S05,Completed
O000197,C00754,2024-04-24,S02,Completed
O000198,C00146,2024-09-19,S03,Completed
O000199,C00785,2024-11-01,S06,Cancelled
O000200,C00526,2025-10-15,S02,Returned
O000201,C00013,,S04,Cancelled
O000202,C00903,2024-07-25,S02,Completed
O000203,C00384,2025-09-14,S09,Completed
O000204,C00556,2024-10-29,S03,Completed
O000205,C00887,2024-04-21,S10,Completed
O000206,C00019,2025-02-20,S10,Completed
O000207,C00575,2025-07-08,S06,Completed
O000208,C00751,2024-10-11,S01,Returned
O000209,C01004,2025-10-01,S10,Completed
O000210,C00419,2024-07-03,S03,Completed
O000211,C00419,2024-08-08,S08,Completed
O000212,C00122,2025-03-19,S05,Returned
O000213,C00432,2024-04-26,S08,Completed
O000214,C00044,2024-03-10,S02,Completed
O000215,C00381,2024-03-10,S07,Completed
O000216,C00145,2025-09-13,S09,Completed
O000217,C00363,2025-03-02,S07,Completed
O000218,C01074,2025-10-05,S03,Completed
O000219,C01089,2025-07-21,S07,Completed
O000220,C00355,2025-03-18,S08,Completed
O000221,C00800,2025-08-23,S01,Completed
O000222,C01188,2024-05-16,S03,Completed
O000223,C01165,2025-05-18,S05,Returned
O000224,C00826,2024-05-10,S06,Returned
O000225,C01152,2024-08-05,S03,Completed
O000226,C00398,2025-11-18,S04,Returned
O000227,C00880,2024-06-19,S05,Completed
O000228,C00463,2025-04-19,S03,Completed
O000229,C00808,2025-09-03,S04,Completed
O000230,C00187,2024-05-08,S05,Completed
O000231,C00732,2024-02-26,S02,Completed
O000232,C00429,2024-06-29,S10,Completed
O000233,C00858,2024-09-02,S09,Completed
O000234,C00237,2024-05-23,S10,Completed
O000235,C00771,2024-02-20,S08,Completed
O000236,C00758,2025-01-02,S06,Completed
O000237,C00136,2025-04-03,S10,Completed
O000238,C00792,2024-08-05,S03,Returned
O000239,C00171,2025-09-07,S02,Completed
O000240,C00159,2025-07-20,S07,Returned
O000241,C00201,2024-09-13,S08,Completed
O000242,C00962,2024-06-04,S10,Completed
O000243,C00583,2025-07-18,S01,Completed
O000244,C00876,2025-03-17,S06,Completed
O000245,C00371,2025-11-29,S07,Completed
O000246,C00103,2025-10-23,S09,Completed
O000247,C01002,2025-12-23,S03,Completed
O000248,C01149,2024-01-25,S02,Completed
O000249,C00976,2025-10-25,S05,Completed
O000250,C00798,2025-06-19,S10,Completed
O000251,C00658,2024-02-29,S01,Completed
O000252,C00882,2025-04-11,S06,Completed
O000253,C00733,2025-03-09,S09,Completed
O000254,C00423,2024-03-06,S10,Completed
O000255,C00572,2025-07-18,S09,Cancelled
O000256,C00171,2024-04-15,S07,Cancelled
O000257,C00173,2024-04-05,S07,Completed
O000258,C00663,2025-11-18,S08,Completed
O000259,C00453,2025-07-04,S10,Completed
O000260,C00350,2024-06-16,S02,Completed
O000261,C00494,2024-02-11,S06,Returned
O000262,C00620,2024-04-13,S05,Returned
O000263,C01028,2024-07-22,S05,Completed
O000264,C01117,2025-06-03,S03,Completed
O000265,C00919,2024-10-08,S03,Returned
O000266,C00006,2024-02-12,S06,Completed
O000267,C00288,2024-04-19,S10,Completed
O000268,C01170,2024-07-28,S10,Completed
O000269,C00608,2024-02-18,S07,Completed
O000270,C00457,2024-04-24,S01,Completed
O000271,C01030,2024-06-03,S03,Completed
O000272,C00624,2025-10-10,S01,Completed
O000273,C00376,2025-05-17,S10,Completed
O000274,C00447,2025-11-09,S03,Completed
O000275,C00835,2025-12-11,S05,Completed
O000276,C01130,2024-03-11,S09,Completed
O000277,C00811,2025-06-02,S03,Completed
O000278,C01120,2025-12-12,S10,Returned
O000279,C00959,2024-12-01,S10,Completed
O000280,C00849,2024-03-07,S09,Completed
O000281,C00809,2025-05-07,S01,Cancelled
O000282,C00979,2025-10-11,S06,Completed
O000283,C00416,2024-07-31,S09,Completed
O000284,C00726,2024-06-29,S05,Completed
O000285,C00454,2025-09-04,S10,Completed
O000286,C00150,2025-08-21,S02,Completed
O000287,C00759,2025-11-27,S05,Completed
O000288,C00779,2025-08-25,S01,Returned
O000289,C00973,2024-09-04,S09,Completed
O000290,C00763,2024-08-01,S10,Completed
O000291,C01002,2024-12-24,S10,Completed
O000292,C00076,2024-09-05,S09,Completed
O000293,C00599,2025-09-29,S06,Cancelled
O000294,C00225,2025-05-30,S09,Completed
O000295,C00113,2024-03-28,S03,Completed
O000296,C00251,2025-10-24,S04,Completed
O000297,C00841,2024-06-24,S06,Completed
O000298,C00714,2025-12-23,S04,Returned
O000299,C01107,2025-03-01,S01,Completed
O000300,C00125,2025-08-25,S07,Completed
O000301,C01199,2025-12-03,S05,Completed
O000302,C01093,2024-03-21,S08,Completed
O000303,C01071,2024-05-17,S09,Completed
O000304,C00884,2025-03-08,S05,Completed
O000305,C00030,2025-04-14,S08,Completed
O000306,C00281,2024-12-15,S01,Completed
O000307,C00924,2024-05-05,S01,Completed
O000308,C00368,2024-11-04,S07,Returned
O000309,C00495,2024-08-17,S06,Completed
O000310,C01049,2025-04-04,S05,Completed
O000311,C00718,2024-12-10,S05,Returned
O000312,C01017,2024-11-05,S09,Completed
O000313,C00606,2024-01-20,S01,Completed
O000314,C00375,2025-07-14,S08,Completed
O000315,C00639,2025-10-08,S02,Completed
O000316,C01049,2025-06-24,S07,Completed
O000317,C00116,2025-07-13,S06,Completed
O000318,C00048,2025-04-21,S10,Completed
O000319,C00099,2024-09-25,S02,Returned
O000320,C00405,2024-01-03,S03,Completed
O000321,C00685,2024-01-16,S04,Completed
O000322,C00903,2025-08-28,S07,Completed
O000323,C00503,2024-12-23,S08,Completed
O000324,C00894,2025-10-07,S02,Completed
O000325,C00258,2024-05-12,S08,Completed
O000326,C00844,2024-11-07,S09,Completed
O000327,C00121,2025-04-26,S07,Completed
O000328,C00810,2025-06-27,S01,Completed
O000329,C00978,2024-10-31,S06,Completed
O000330,C00054,2024-09-25,S08,Completed
O000331,C01019,2025-02-17,S05,Completed
O000332,C00784,2024-01-25,S02,Returned
O000333,C00241,2024-11-11,S05,Completed
O000334,C00483,2025-07-24,S08,Returned
O000335,C01013,2025-12-25,S02,Returned
O000336,C00187,2025-10-29,S01,Returned
O000337,C00656,2024-10-02,S04,Completed
O000338,C00262,2025-01-23,S04,Returned
O000339,C00953,2025-12-22,S09,Completed
O000340,C00491,2025-03-19,S03,Completed
O000341,C00431,2025-03-02,S04,Completed
O000342,C00239,2024-02-26,S03,Cancelled
O000343,C00304,2025-11-27,S02,Completed
O000344,C00298,2025-07-19,S04,Completed
O000345,C00076,2025-12-21,S08,Completed
O000346,C00999,2025-01-02,S01,Completed
O000347,C00642,2024-12-07,S08,Completed
O000348,C00827,2024-10-30,S08,Completed
O000349,C00283,2025-01-08,S03,Completed
O000350,C00591,2024-04-21,S10,Cancelled
O000351,C00072,2024-01-06,S10,Completed
O000352,C00703,2025-12-03,S06,Returned
O000353,C00575,2024-10-05,S04,Completed
O000354,C01000,2025-01-16,S01,Completed
O000355,C00892,2024-01-13,S01,Completed
O000356,C00012,2024-10-29,S05,Completed
O000357,C00141,2025-07-09,S08,Completed
O000358,C00017,2025-09-08,S01,Completed
O000359,C01087,2024-06-08,S02,Completed
O000360,C00253,2024-06-02,S07,Completed
O000361,C00465,2024-06-29,S08,Completed
O000362,C00376,2025-06-09,S03,Completed
O000363,C00981,2024-06-28,S08,Completed
O000364,C00520,2025-01-11,S01,Completed
O000365,C00090,2024-06-16,S09,Completed
O000366,C00720,2024-08-01,S02,Returned
O000367,C00804,2024-05-29,S02,Completed
O000368,C00796,2024-01-16,S04,Completed
O000369,C00630,2024-03-31,S10,Completed
O000370,C01199,2024-04-29,S03,Completed
O000371,C00076,2024-09-09,S04,Completed
O000372,C00926,2024-02-29,S06,Completed
O000373,C00400,2024-09-22,S07,Completed
O000374,C00970,2025-02-12,S05,Completed
O000375,C01095,2024-01-31,S02,Completed
O000376,C01148,2024-01-21,S03,Completed
O000377,C00797,2025-12-31,S10,Completed
O000378,C00195,2025-08-15,S03,Completed
O000379,C00228,2024-10-15,S05,Completed
O000380,C00461,2025-06-26,S05,Completed
O000381,C00618,2025-05-12,S04,Completed
O000382,C01045,2025-04-18,S08,Completed
O000383,C00064,2025-02-08,S06,Returned
O000384,C00165,2025-07-01,S06,Completed
O000385,C00027,2024-05-11,S01,Completed
O000386,C01012,2024-11-19,S06,Completed
O000387,C00285,2024-05-11,S03,Completed
O000388,C00281,2025-06-04,S06,Completed
O000389,C00838,2024-01-30,S10,Completed
O000390,C00831,2025-09-18,S06,Completed
O000391,C01188,2024-10-27,S02,Completed
O000392,C00918,2024-01-04,S01,Completed
O000393,C00224,2024-11-20,S03,Completed
O000394,C00784,2025-05-23,S05,Completed
O000395,C01170,2024-08-24,S04,Completed
O000396,C00965,2025-06-18,S07,Completed
O000397,C00950,2024-01-16,S04,Completed
O000398,C01054,2025-06-17,S08,Completed
O000399,C00045,2025-08-06,S07,Cancelled
O000400,C00471,2025-03-21,S10,Completed
O000401,C00034,2025-05-17,S09,Completed
O000402,C00653,2024-08-17,S01,Completed
O000403,C00830,2024-04-16,S05,Completed
O000404,C00221,2025-12-20,S04,Completed
O000405,C00534,2025-01-23,S06,Completed
O000406,C00692,2025-12-20,S01,Completed
O000407,C00932,2024-09-19,S06,Completed
O000408,C00841,2025-07-16,S01,Completed
O000409,C01011,2024-03-05,S01,Completed
O000410,C00582,2024-09-21,S08,Completed
O000411,C01140,2024-12-03,S02,Returned
O000412,C00239,2024-10-27,S10,Completed
O000413,C00441,2025-01-12,S06,Completed
O000414,C00148,2024-06-23,S06,Completed
O000415,C01033,2024-05-31,S06,Completed
O000416,C00388,2025-04-20,S08,Completed
O000417,C01074,2024-09-22,S04,Completed
O000418,C00916,2024-11-24,S03,Completed
O000419,C00638,2024-06-11,S06,Completed
O000420,C00278,2025-03-13,S04,Completed
O000421,C00989,2024-12-08,S02,Completed
O000422,C00589,2025-01-01,S06,Completed
O000423,C00649,2025-04-09,S10,Completed
O000424,C00618,2024-07-17,S05,Completed
O000425,C00135,2025-05-14,S09,Completed
O000426,C00580,2024-01-16,S06,Completed
O000427,C01171,2024-10-22,S03,Completed
O000428,C00490,2025-05-25,S05,Completed
O000429,C00478,2024-08-26,S10,Completed
O000430,C01183,2025-08-03,S08,Completed
O000431,C00384,2024-10-27,S09,Completed
O000432,C00163,2024-01-06,S08,Completed
O000433,C00441,2024-08-07,S03,Completed
O000434,C00415,2025-03-28,S09,Cancelled
O000435,C00288,2025-03-08,S03,Completed
O000436,C00187,2025-01-20,S08,Completed
O000437,C01162,2025-09-10,S10,Cancelled
O000438,C00130,2024-10-21,S09,Completed
O000439,C00194,2024-04-27,S07,Completed
O000440,C00316,2025-02-08,S04,Completed
O000441,C00144,2025-11-10,S10,Completed
O000442,C00016,2025-08-16,S09,Completed
O000443,C00423,2025-07-19,S03,Completed
O000444,C00245,2024-01-12,S03,Completed
O000445,C00927,2024-07-27,S02,Completed
O000446,C01131,2024-06-13,S10,Completed
O000447,C01112,2024-10-20,S03,Cancelled
O000448,C00129,2025-06-02,S01,Completed
O000449,C00907,2024-03-18,S04,Completed
O000450,C00887,2025-03-09,S08,Completed
O000451,C00341,2025-07-30,S05,Completed
O000452,C00004,2025-09-05,S02,Completed
O000453,C00306,2025-11-13,S03,Completed
O000454,C00908,2024-03-17,S01,Completed
O000455,C00607,2024-02-17,S02,Completed
O000456,C00992,2024-03-22,S01,Completed
O000457,C00321,2025-12-21,S02,Completed
O000458,C00559,2024-07-27,S03,Completed
O000459,C00618,2025-03-20,S01,Completed
O000460,C00711,2025-08-18,S09,Completed
O000461,C01132,2025-06-05,S10,Completed
O000462,C00531,2024-01-29,S05,Completed
O000463,C00410,2024-10-30,S08,Cancelled
O000464,C00818,2025-04-09,S05,Completed
O000465,C01195,2025-05-16,S08,Completed
O000466,C00493,2025-03-21,S07,Completed
O000467,C00012,2025-09-19,S04,Completed
O000468,C00195,2025-05-04,S07,Completed
O000469,C00490,2025-03-03,S06,Completed
O000470,C00795,2025-07-12,S03,Completed
O000471,C00881,2024-12-24,S09,Completed
O000472,C00182,2024-03-31,S10,Completed
O000473,C00962,2024-02-22,S09,Completed
O000474,C00656,2025-12-30,S05,Completed
O000475,C00694,2025-08-11,S08,Completed
O000476,C00030,2024-07-22,S07,Completed
O000477,C01120,2025-07-09,S09,Completed
O000478,C00778,2024-06-04,S07,Completed
O000479,C00444,2024-01-02,S04,Completed
O000480,C00298,2024-12-22,S04,Completed
O000481,C00808,2025-07-22,S08,Completed
O000482,C00845,2024-02-27,S06,Completed
O000483,C01016,2024-09-10,S09,Completed
O000484,C00554,2024-06-28,S10,Completed
O000485,C00303,2025-05-07,S07,Completed
O000486,C00421,2025-10-30,S07,Completed
O000487,C00185,2024-02-04,S04,Completed
O000488,C00468,2024-03-15,S03,Returned
O000489,C00754,2024-10-15,S08,Completed
O000490,C00363,2025-01-05,S07,Completed
O000491,C00336,2025-08-09,S04,Completed
O000492,C00162,2024-11-24,S04,Completed
O000493,C01184,2025-08-12,S01,Completed
O000494,C00012,2024-10-30,S07,Completed
O000495,C01097,2025-08-01,S01,Completed
O000496,C00588,2024-08-08,S10,Completed
O000497,C00201,2024-06-12,S10,Completed
O000498,C00522,2025-04-24,S04,Completed
O000499,C00505,2025-03-30,S03,Completed
O000500,C00788,2025-01-09,S03,Returned
O000501,C01063,2024-08-07,S01,Completed
O000502,C00060,2025-11-14,S04,Completed
O000503,C00578,2024-09-10,S01,Returned
O000504,C00321,2025-12-22,S08,Completed
O000505,C00923,2024-07-06,S01,Completed
O000506,C00569,2024-07-09,S06,Completed
O000507,C01102,2025-01-23,S07,Cancelled
O000508,C00527,2024-08-02,S10,Returned
O000509,C00524,2025-01-09,S02,Completed
O000510,C00613,2024-03-26,S04,Completed
O000511,C01180,2025-04-18,S03,Completed
O000512,C00125,2025-09-09,S09,Completed
O000513,C00871,2025-06-14,S07,Completed
O000514,C00280,2024-02-16,S02,Cancelled
O000515,C00917,2024-03-05,S06,Completed
O000516,C00622,2025-04-19,S09,Completed
O000517,C00846,2024-05-25,S03,Completed
O000518,C00674,2025-01-16,S06,Completed
O000519,C01152,2024-03-06,S03,Completed
O000520,C00314,2025-05-31,S03,Completed
O000521,C00332,2024-04-02,S04,Completed
O000522,C01174,2025-03-01,S09,Completed
O000523,C00036,2025-04-12,S08,Completed
O000524,C01046,2024-04-03,S01,Completed
O000525,C00206,2025-09-09,S01,Returned
O000526,C00639,2024-05-12,S07,Completed
O000527,C00848,2025-03-09,S03,Completed
O000528,C00440,2024-12-06,S07,Completed
O000529,C00729,2024-11-09,S09,Returned
O000530,C01120,2025-08-13,S03,Completed
O000531,C00941,2024-07-30,S03,Completed
O000532,C00164,2025-06-03,S02,Completed
O000533,C00148,2024-06-07,S10,Completed
O000534,C00294,2024-09-24,S01,Completed
O000535,C00195,2025-10-22,S09,Completed
O000536,C00663,2025-08-25,S06,Completed
O000537,C00480,2025-04-18,S06,Completed
O000538,C00123,2025-02-13,S08,Completed
O000539,C00699,2025-04-18,S05,Completed
O000540,C00965,2024-12-21,S09,Completed
O000541,C00661,2025-11-10,S05,Completed
O000542,C01128,2024-07-11,S02,Completed
O000543,C00710,2025-11-29,S06,Completed
O000544,C00396,2024-09-27,S09,Completed
O000545,C00912,2024-04-23,S03,Cancelled
O000546,C01005,2025-06-06,S10,Completed
O000547,C01166,2024-02-24,S04,Completed
O000548,C00317,2024-03-05,S10,Completed
O000549,C00681,2025-11-14,S08,Completed
O000550,C00495,2024-09-28,S06,Completed
O000551,C00556,2025-05-16,S07,Completed
O000552,C00610,2025-10-23,S07,Completed
O000553,C00109,2024-12-27,S04,Completed
O000554,C00372,2024-05-25,S06,Completed
O000555,C00855,2024-07-27,S09,Completed
O000556,C00616,2024-10-12,S03,Completed
O000557,C00768,2024-01-10,S08,Cancelled
O000558,C00206,2024-07-04,S07,Completed
O000559,C00847,2025-07-27,S04,Completed
O000560,C00043,2025-08-19,S10,Completed
O000561,C00865,2025-04-08,S03,Returned
O000562,C00785,2024-05-13,S07,Completed
O000563,C00476,2024-06-19,S10,Completed
O000564,C00083,2024-07-31,S09,Completed
O000565,C01134,2025-06-13,S10,Completed
O000566,C00190,2025-05-16,S03,Completed
O000567,C00800,2025-07-25,S10,Completed
O000568,C00936,2025-08-22,S09,Completed
O000569,C00251,2024-01-27,S08,Completed
O000570,C00291,2024-03-08,S03,Completed
O000571,C00326,2025-02-11,S08,Cancelled
O000572,C00837,2025-07-05,S04,Completed
O000573,C00508,2024-04-18,S06,Completed
O000574,C00731,2024-03-14,S10,Completed
O000575,C00072,2025-07-31,S02,Completed
O000576,C00641,2025-11-10,S08,Completed
O000577,C00940,2024-09-18,S09,Completed
O000578,C00608,2025-01-02,S07,Completed
O000579,C00566,2024-08-24,S08,Completed
O000580,C00054,2025-12-27,S07,Completed
O000581,C00528,2024-12-31,S10,Completed
O000582,C00611,2024-10-12,S04,Completed
O000583,C00193,2025-01-12,S01,Completed
O000584,C00058,2025-10-22,S03,Completed
O000585,C01135,2025-01-10,S07,Completed
O000586,C00129,2025-09-10,S07,Completed
O000587,C00706,2025-10-14,S03,Completed
O000588,C00852,2024-03-16,S01,Returned
O000589,C00008,2024-01-09,S10,Completed
O000590,C00029,2024-07-14,S09,Completed
O000591,C01136,2025-09-21,S06,Completed
O000592,C00947,2024-10-16,S07,Completed
O000593,C00131,2024-03-01,S01,Completed
O000594,C00188,2025-01-23,S01,Completed
O000595,C00709,2025-07-16,S04,Completed
O000596,C00212,2025-07-17,S07,Completed
O000597,C00276,2025-09-25,S08,Completed
O000598,C01097,2025-11-09,S10,Completed
O000599,C00243,2024-01-08,S09,Completed
O000600,C01126,2025-01-03,S01,Completed
O000601,C00987,2024-02-14,S04,Completed
O000602,C00685,2024-12-09,S04,Completed
O000603,C00171,2025-01-09,S03,Completed
O000604,C00653,2025-09-10,S07,Cancelled
O000605,C00188,2024-01-27,S01,Completed
O000606,C01110,2024-07-11,S09,Completed
O000607,C00052,2024-12-22,S08,Completed
O000608,C00111,2024-03-02,S02,Completed
O000609,C00877,2024-03-02,S02,Completed
O000610,C01067,2025-02-25,S08,Completed
O000611,C00211,2025-09-24,S01,Completed
O000612,C00858,2025-07-04,S07,Completed
O000613,C00627,2025-01-14,S09,Returned
O000614,C01050,2024-10-03,S03,Completed
O000615,C00299,2025-08-28,S07,Completed
O000616,C01101,2025-03-06,S06,Completed
O000617,C00924,2024-04-24,S07,Completed
O000618,C00137,2025-11-18,S07,Completed
O000619,C01044,2024-04-30,S10,Completed
O000620,C00440,2025-06-08,S01,Completed
O000621,C00211,2025-02-19,S03,Returned
O000622,C00752,2024-06-11,S10,Completed
O000623,C00435,2025-11-18,S01,Completed
O000624,C00780,2024-12-02,S05,Completed
O000625,C00439,2025-01-13,S03,Completed
O000626,C00666,2024-11-19,S01,Completed
O000627,C01066,2024-06-21,S02,Completed
O000628,C00411,2024-03-04,S10,Completed
O000629,C00806,2024-04-10,S05,Completed
O000630,C00610,2024-11-17,S03,Completed
O000631,C00427,2024-03-06,S06,Completed
O000632,C00902,2025-07-10,S09,Completed
