order_item_id,order_id,product_id,quantity,discount
LI000097,O004189,P0092,5.0,0.149
LI000098,O005946,P0120,2.0,0.032
LI000099,O002588,P0085,3.0,0.164
LI000100,O002697,P0080,3.0,0.143
LI000101,O004013,P0023,4.0,0.13
LI000102,O004698,P0116,4.0,0.054
LI000103,O000049,P0090,2.0,0.132
LI000104,O005999,P0015,2.0,0.224
LI000105,O003330,P0101,3.0,0.031
LI000106,O003590,P0012,5.0,0.176
LI000107,O002589,P0004,5.0,0.028
LI000108,O003482,P0035,4.0,0.085
LI000109,O006300,P0095,2.0,0.171
LI000110,O000775,P0061,2.0,0.14
LI000111,O004642,P0027,5.0,0.17
LI000112,O005560,P0096,4.0,0.241
LI000113,O001261,P0033,5.0,0.242
LI000114,O000650,P0013,5.0,0.229
LI000115,O003440,P0037,3.0,0.124
LI000116,O003049,P0044,2.0,0.085
LI000117,O002024,P0002,3.0,0.07
LI000118,O001081,P0038,3.0,0.144
LI000119,O004271,P0037,5.0,0.113
LI000120,O005334,P0059,4.0,0.249
LI000121,O002075,P0114,5.0,0.134
LI000122,O006038,P0120,4.0,0.082
LI000123,O005239,P0069,2.0,0.159
LI000124,O004243,P0018,1.0,0.011
LI000125,O004964,P0048,2.0,0.028
LI000126,O002313,P0081,5.0,0.166
LI000127,O003475,P0066,4.0,0.031
LI000128,O002306,P0049,1.0,0.189
LI000129,O005980,P0106,4.0,0.015
LI000130,O003261,P0058,4.0,0.148
LI000131,O002875,P0035,1.0,0.17
LI000132,O004839,P0078,1.0,0.195
LI000133,O005619,P0115,2.0,0.221
LI000134,O004806,P0076,3.0,0.078
LI000135,O003311,P0058,1.0,0.18
LI000136,O001351,P0097,3.0,0.02
LI000137,O001094,P0007,3.0,0.207
LI000138,O006049,P0103,3.0,0.223
LI000139,O003777,P0109,3.0,0.187
LI000140,O003097,P0009,1.0,0.07
LI000141,O005702,P0069,4.0,0.016
LI000142,O005778,P0004,1.0,0.105
LI000143,O001855,P0032,1.0,0.068
LI000144,O002267,P0005,5.0,0.133
LI000145,O000561,P0056,5.0,0.098
LI000146,O004988,P0056,2.0,0.034
LI000147,O004693,P0116,3.0,0.209
LI000148,O006487,P0044,3.0,0.216
LI000149,O004546,P0072,5.0,0.203
LI000150,O002384,P0013,4.0,0.053
LI000151,O006148,P0004,2.0,0.107
LI000152,O001826,P0052,4.0,0.043
LI000153,O005346,P0075,5.0,0.166
LI000154,O005270,P0015,4.0,0.201
LI000155,O006382,P0120,3.0,0.145
LI000156,O001684,P0110,5.0,0.137
LI000157,O006247,P0082,4.0,0.179
LI000158,O001199,P0084,2.0,0.028
LI000159,O001010,P0001,2.0,0.062
LI000160,O001772,P0065,1.0,0.078
LI000161,O001708,P0011,5.0,0.133
LI000162,O004536,P0093,5.0,0.244
LI000163,O005405,P0061,5.0,0.216
LI000164,O002273,P0093,3.0,0.062
LI000165,O002613,P0088,3.0,0.058
LI000166,O006127,P0084,5.0,0.109
LI000167,O006064,P0094,4.0,0.244
LI000168,O004342,P0063,3.0,0.038
LI000169,O001543,P0038,5.0,0.239
LI000170,O001238,P0069,3.0,0.048
LI000171,O002976,P0045,1.0,0.222
LI000172,O005710,P0074,2.0,0.208
LI000173,O001725,P0070,1.0,0.221
LI000174,O005049,P0068,5.0,0.223
LI000175,O002264,P0004,2.0,0.055
LI000176,O000283,P0071,4.0,0.195
LI000177,O002621,P0048,5.0,0.171
LI000178,O003287,P0097,4.0,0.22
LI000179,O006037,P0009,4.0,0.123
LI000180,O000172,P0090,3.0,0.103
LI000181,O005341,P0115,3.0,0.182
LI000182,O003457,P0116,2.0,0.067
LI000183,O005215,P0047,2.0,0.205
LI000184,O001883,P0105,3.0,0.071
LI000185,O006188,P0085,2.0,0.011
LI000186,O002276,P0060,1.0,0.138
LI000187,O002622,P0052,5.0,0.209
LI000188,O006461,P0086,1.0,0.173
LI000189,O000601,P0033,5.0,0.247
LI000190,O003791,P0058,3.0,0.035
LI000191,O002024,P0097,1.0,0.086
LI000192,O000467,P0048,4.0,0.095
LI000193,O003951,P0005,1.0,0.015
LI000194,O003890,P0085,2.0,0.011
LI000195,O005835,P0027,1.0,0.007
LI000196,O004393,P0041,3.0,0.102
LI000197,O002593,P0001,3.0,0.211
LI000198,O001020,P0051,2.0,0.177
LI000199,O006359,P0016,5.0,0.112
LI000200,O001548,P0099,2.0,0.066
LI000201,O005995,P0100,5.0,0.004
LI000202,O004757,P0108,3.0,0.044
LI000203,O004750,P0032,3.0,0.097
LI000204,O004898,P0093,5.0,0.093
LI000205,O004437,P0103,1.0,0.065
LI000206,O000704,P0047,1.0,0.249
LI000207,O000853,P0023,2.0,0.112
LI000208,O000306,P0015,3.0,0.067
LI000209,O003579,P0026,1.0,0.102
LI000210,O001934,P0037,3.0,0.07
LI000211,O001788,P0089,2.0,0.088
LI000212,O003788,P0055,4.0,0.031
LI000213,O000874,P0002,3.0,0.0
LI000214,O001582,P0076,4.0,0.123
LI000215,O003958,P0019,3.0,0.122
LI000216,O004591,P0032,5.0,0.039
LI000217,O003333,P0087,4.0,0.208
LI000218,O001686,P0069,5.0,0.048
LI000219,O001606,P0055,5.0,0.193
LI000220,O005634,P0089,2.0,0.048
LI000221,O005732,P0099,2.0,0.07
LI000222,O000896,P0056,1.0,0.067
LI000223,O005264,P0029,4.0,0.057
LI000224,O003264,P0102,1.0,0.238
LI000225,O003425,P0109,4.0,0.066
LI000226,O003854,P0084,2.0,0.121
LI000227,O002347,P0111,2.0,0.184
LI000228,O003532,P0036,2.0,0.08
LI000229,O002475,P0116,4.0,0.003
LI000230,O001862,P0071,2.0,0.19
LI000231,O002764,P0086,1.0,0.071
LI000232,O004853,P0082,5.0,0.218
LI000233,O000031,P0053,4.0,0.123
LI000234,O006476,P0085,5.0,0.156
LI000235,O006090,P0086,1.0,0.238
LI000236,O004008,P0039,3.0,0.217
LI000237,O006196,P0076,2.0,0.198
LI000238,O003456,P0011,1.0,0.133
LI000239,O000243,P0120,3.0,0.042
LI000240,O004782,P0076,4.0,0.21
LI000241,O005732,P0090,1.0,0.023
LI000242,O005537,P0030,4.0,0.222
LI000243,O001499,P0079,5.0,0.192
LI000244,O005512,P0072,5.0,0.201
LI000245,O005509,P0107,4.0,0.094
LI000246,O004669,P0053,5.0,0.021
LI000247,O006088,P0082,5.0,0.182
LI000248,O005528,P0074,2.0,0.245
LI000249,O005309,P0008,4.0,0.215
LI000250,O003423,P0102,4.0,0.21
LI000251,O004004,P0099,3.0,0.158
LI000252,O006427,P0020,2.0,0.029
LI000253,O001660,P0012,1.0,0.216
LI000254,O003229,P0113,2.0,0.056
LI000255,O000599,P0067,1.0,0.066
LI000256,O002196,P0084,4.0,0.189
LI000257,O000070,P0050,2.0,0.179
LI000258,O001394,P0012,3.0,0.018
LI000259,O003660,P0054,5.0,0.063
LI000260,O001650,P0088,1.0,0.204
LI000261,O005635,P0080,5.0,0.237
LI000262,O002282,P0054,4.0,0.067
LI000263,O003683,P0074,4.0,0.19
LI000264,O002684,P0019,4.0,0.126
LI000265,O004563,P0105,5.0,0.095
LI000266,O004653,P0014,4.0,0.225
LI000267,O004990,P0052,4.0,0.137
LI000268,O004932,P0078,5.0,0.173
LI000269,O001311,P0022,4.0,0.148
LI000270,O004714,P0004,1.0,0.161
LI000271,O005414,P0111,2.0,0.129
LI000272,O005601,P0116,1.0,0.133
LI000273,O004230,P0059,4.0,0.213
LI000274,O004104,P0034,4.0,0.076
LI000275,O002076,P0064,4.0,0.184
LI000276,O000783,P0018,4.0,0.067
LI000277,O003807,P0098,5.0,0.018
LI000278,O001334,P0082,2.0,0.226
LI000279,O003718,P0104,5.0,0.103
LI000280,O004637,P0031,5.0,0.171
LI000281,O001058,P0106,4.0,0.189
LI000282,O002055,P0084,1.0,0.199
LI000283,O006184,P0100,1.0,0.057
LI000284,O003402,P0042,3.0,0.164
LI000285,O005005,P0074,2.0,0.19
LI000286,O002110,P0003,3.0,0.03
LI000287,O003158,P0085,5.0,0.035
LI000288,O003797,P0100,3.0,0.091
LI000289,O003649,P0055,3.0,0.075
LI000290,O001321,P0010,3.0,0.199
LI000291,O004418,P0071,2.0,0.161
LI000292,O003700,P0022,1.0,0.124
LI000293,O000733,P0023,1.0,0.027
LI000294,O005515,P0076,3.0,0.028
LI000295,O005477,P0103,2.0,0.129
LI000296,O003634,P0013,1.0,0.221
LI000297,O003550,P0040,4.0,0.194
LI000298,O005456,P0013,1.0,0.22
LI000299,O003663,P0097,1.0,0.141
LI000300,O006164,P0095,2.0,0.055
LI000301,O006011,P0112,2.0,0.008
LI000302,O004645,P0051,1.0,0.235
LI000303,O005379,P0064,4.0,0.119
LI000304,O000605,P0092,4.0,0.215
LI000305,O001723,P0083,3.0,0.183
LI000306,O002405,P0085,3.0,0.208
LI000307,O006345,P0096,1.0,0.053
LI000308,O003483,P0090,1.0,0.17
LI000309,O002813,P0013,1.0,0.181
LI000310,O001582,P0029,4.0,0.138
LI000311,O002279,P0071,5.0,0.209
LI000312,O002351,P0047,3.0,0.247
LI000313,O003624,P0026,3.0,0.003
LI000314,O000715,P0070,5.0,0.114
LI000315,O000925,P0096,1.0,0.188
LI000316,O003163,P0100,3.0,0.181
LI000317,O004154,P0118,4.0,0.117
LI000318,O004530,P0023,5.0,0.211
LI000319,O004079,P0116,4.0,0.169
LI000320,O002570,P0075,1.0,0.137
LI000321,O002816,P0056,3.0,0.068
LI000322,O005881,P0085,4.0,0.092
LI000323,O004579,P0019,5.0,0.247
LI000324,O004463,P0098,1.0,0.227
LI000325,O000889,P0113,3.0,0.174
LI000326,O005949,P0111,3.0,0.215
LI000327,O003479,P0116,1.0,0.034
LI000328,O003590,P0050,1.0,0.067
LI000329,O005451,P0108,1.0,0.221
LI000330,O001724,P0035,4.0,0.118
LI000331,O001259,P0049,2.0,0.148
LI000332,O000411,P0095,3.0,0.221
LI000333,O002231,P0046,4.0,0.101
LI000334,O003195,P0093,5.0,0.12
LI000335,O002206,P0070,3.0,0.028
LI000336,O002061,P0100,2.0,0.248
LI000337,O003899,P0053,5.0,0.243
LI000338,O002614,P0031,3.0,0.074
LI000339,O001813,P0096,2.0,0.213
LI000340,O001803,P0104,1.0,0.184
LI000341,O003907,P0084,2.0,0.037
LI000342,O000678,P0022,3.0,0.006
LI000343,O002911,P0067,2.0,0.004
LI000344,O004714,P0008,3.0,0.016
LI000345,O002252,P0109,3.0,0.157
LI000346,O003005,P0019,2.0,0.123
LI000347,O006446,P0031,2.0,0.249
LI000348,O000795,P0032,5.0,0.072
LI000349,O000729,P0079,5.0,0.181
LI000350,O001694,P0055,4.0,0.097
LI000351,O005982,P0103,3.0,0.025
LI000352,O004735,P0031,5.0,0.219
LI000353,O000191,P0067,4.0,0.1
LI000354,O005898,P0051,3.0,0.229
LI000355,O004995,P0096,4.0,0.234
LI000356,O001997,P0074,5.0,0.205
LI000357,O002108,P0092,4.0,0.007
LI000358,O003867,P0027,2.0,0.242
LI000359,O001490,P0048,4.0,0.031
LI000360,O005499,P0110,1.0,0.233
LI000361,O005549,P0104,1.0,0.152
LI000362,O002110,P0043,4.0,0.094
LI000363,O006040,P0095,1.0,0.18
LI000364,O006446,P0051,4.0,0.127
LI000365,O000638,P0098,4.0,0.199
LI000366,O004046,P0069,4.0,0.128
LI000367,O005095,P0075,1.0,0.092
LI000368,O006316,P0071,3.0,0.09
LI000369,O005625,P0072,4.0,0.089
LI000370,O004159,P0081,4.0,0.118
LI000371,O002820,P0108,2.0,0.028
LI000372,O004112,P0050,2.0,0.165
LI000373,O000842,P0061,5.0,0.085
LI000374,O003952,P0103,1.0,0.14
LI000375,O005221,P0041,3.0,0.132
LI000376,O004059,P0051,4.0,0.214
LI000377,O003248,P0078,4.0,0.215
LI000378,O001217,P0024,1.0,0.247
LI000379,O006093,P0030,5.0,0.06
LI000380,O000899,P0115,5.0,0.009
LI000381,O005587,P0052,2.0,0.106
LI000382,O002223,P0050,1.0,0.224
LI000383,O001258,P0057,5.0,0.15
LI000384,O001515,P0062,5.0,0.093
LI000385,O000417,P0079,3.0,0.193
LI000386,O005653,P0117,2.0,0.178
LI000387,O004547,P0053,2.0,0.178
LI000388,O002884,P0068,2.0,0.129
LI000389,O003827,P0077,5.0,0.133
LI000390,O005920,P0069,4.0,0.139
LI000391,O004376,P0031,5.0,0.138
LI000392,O004340,P0076,5.0,0.052
LI000393,O000675,P0030,1.0,0.061
LI000394,O006290,P0113,2.0,0.094
LI000395,O000103,P0010,2.0,0.214
LI000396,O002358,P0094,3.0,0.116
LI000397,O003994,P0090,2.0,0.232
LI000398,O004028,P0044,5.0,0.198
LI000399,O003709,P0006,1.0,0.215
LI000400,O004213,P0027,3.0,0.034
LI000401,O001496,P0020,5.0,0.037
LI000402,O004859,P0092,5.0,0.059
LI000403,O003393,P0020,3.0,0.166
LI000404,O003507,P0012,5.0,0.119
LI000405,O002786,P0109,5.0,0.042
LI000406,O005820,P0085,1.0,0.186
LI000407,O002235,P0094,1.0,0.129
LI000408,O003660,P0049,1.0,0.183
LI000409,O004881,P0052,2.0,0.227
LI000410,O005589,P0010,3.0,0.229
LI000411,O003733,P0115,1.0,0.075
LI000412,O004803,P0005,5.0,0.04
LI000413,O004892,P0064,2.0,0.108
LI000414,O004569,P0058,3.0,0.021
LI000415,O003526,P0101,1.0,0.011
LI000416,O003518,P0008,1.0,0.245
LI000417,O004778,P0030,3.0,0.243
LI000418,O004190,P0017,1.0,0.088
LI000419,O004832,P0067,3.0,0.205
LI000420,O006138,P0021,3.0,0.056
LI000421,O006182,P0016,5.0,0.104
LI000422,O002530,P0096,3.0,0.182
LI000423,O006255,P0027,4.0,0.138
LI000424,O001914,P0115,1.0,0.205
LI000425,O002458,P0006,5.0,0.245
LI000426,O005686,P0042,2.0,0.002
LI000427,O001151,P0016,4.0,0.231
LI000428,O006110,P0045,3.0,0.103
LI000429,O003859,P0003,2.0,0.102
LI000430,O004138,P0118,2.0,0.0
LI000431,O004137,P0040,2.0,0.209
LI000432,O001511,P0020,2.0,0.19
LI000433,O003971,P0104,5.0,0.224
LI000434,O005791,P0007,5.0,0.042
LI000435,O003916,P0059,2.0,0.054
LI000436,O006326,P0011,4.0,0.076
LI000437,O003253,P0093,1.0,0.133
LI000438,O003750,P0052,1.0,0.086
LI000439,O000744,P0003,5.0,0.075
LI000440,O002766,P0021,4.0,0.046
LI000441,O003939,P0053,4.0,0.04
LI000442,O002512,P0096,3.0,0.118
LI000443,O001074,P0030,5.0,0.111
LI000444,O005528,P0103,4.0,0.196
LI000445,O003218,P0011,4.0,0.206
LI000446,O004394,P0081,1.0,0.175
LI000447,O002193,P0025,4.0,0.208
LI000448,O000016,P0050,4.0,0.027
LI000449,O003554,P0089,2.0,0.114
LI000450,O005172,P0009,1.0,0.072
LI000451,O000107,P0045,1.0,0.063
LI000452,O004315,P0029,2.0,0.178
LI000453,O006481,P0062,1.0,0.208
LI000454,O002969,P0015,3.0,0.029
LI000455,O004467,P0019,3.0,0.031
LI000456,O003046,P0015,5.0,0.16
LI000457,O002858,P0039,1.0,0.036
LI000458,O004350,P0035,1.0,0.192
LI000459,O001429,P0120,3.0,0.207
LI000460,O002009,P0104,5.0,0.131
LI000461,O005819,P0013,5.0,0.227
LI000462,O003102,P0016,3.0,0.005
LI000463,O006329,P0067,3.0,0.057
LI000464,O005409,P0117,2.0,0.193
LI000465,O005081,P0095,5.0,0.239
LI000466,O003637,P0055,5.0,0.24
LI000467,O003472,P0065,2.0,0.0
LI000468,O003032,P0035,3.0,0.158
LI000469,O002922,P0016,2.0,0.007
LI000470,O004446,P0001,2.0,0.175
LI000471,O006204,P0050,4.0,0.192
LI000472,O005575,P0014,5.0,0.214
LI000473,O000879,P0062,3.0,0.132
LI000474,O002513,P0007,4.0,0.213
LI000475,O000311,P0023,4.0,0.231
LI000476,O001115,P0099,4.0,0.133
LI000477,O001322,P0063,3.0,0.131
LI000478,O003397,P0029,2.0,0.126
LI000479,O004376,P0022,3.0,0.126
LI000480,O000967,P0080,5.0,0.194
LI000481,O003190,P0093,5.0,0.017
LI000482,O000695,P0006,2.0,0.113
LI000483,O005006,P0082,3.0,0.131
LI000484,O002615,P0029,2.0,0.054
LI000485,O000271,P0089,2.0,0.135
LI000486,O005637,P0109,3.0,0.114
LI000487,O005221,P0120,5.0,0.184
LI000488,O001412,P0002,3.0,0.088
LI000489,O005406,P0108,5.0,0.237
LI000490,O003028,P0064,1.0,0.103
LI000491,O003125,P0096,1.0,0.158
LI000492,O001754,P0036,1.0,0.055
LI000493,O004937,P0096,4.0,0.172
LI000494,O001822,P0105,5.0,0.128
LI000495,O005100,P0020,5.0,0.086
LI000496,O004336,P0055,3.0,0.087
LI000497,O003286,P0037,5.0,0.094
LI000498,O005736,P0106,3.0,0.109
LI000499,O000361,P0102,4.0,0.062
LI000500,O003436,P0097,3.0,0.069
LI000501,O000734,P0052,1.0,0.24
LI000502,O000852,P0069,3.0,0.075
LI000503,O000860,P0070,3.0,0.157
LI000504,O004797,P0022,3.0,0.086
LI000505,O001351,P0085,5.0,0.203
LI000506,O004085,P0083,2.0,0.174
LI000507,O002884,P0107,2.0,0.082
LI000508,O003548,P0015,2.0,0.179
LI000509,O004919,P0098,5.0,0.189
LI000510,O005731,P0047,1.0,0.035
LI000511,O004193,P0071,2.0,0.145
LI000512,O000327,P0081,2.0,0.202
LI000513,O002121,P0108,4.0,0.013
LI000514,O000994,P0108,4.0,0.127
LI000515,O005376,P0069,1.0,0.21
LI000516,O001767,P0052,3.0,0.238
LI000517,O005090,P0039,3.0,0.164
LI000518,O004429,P0002,4.0,0.082
LI000519,O001181,P0091,4.0,0.151
LI000520,O001965,P0045,1.0,0.007
LI000521,O002782,P0024,1.0,0.114
LI000522,O002906,P0105,5.0,0.182
LI000523,O000099,P0061,3.0,0.009
LI000524,O002780,P0111,5.0,0.151
LI000525,O000244,P0092,2.0,0.147
LI000526,O004038,P0111,1.0,0.047
LI000527,O001501,P0065,3.0,0.142
LI000528,O005561,P0053,3.0,0.102
LI000529,O005495,P0116,5.0,0.12
LI000530,O002710,P0021,4.0,0.081
LI000531,O003054,P0092,4.0,0.203
LI000532,O004463,P0067,1.0,0.091
LI000533,O003227,P0094,4.0,0.198
LI000534,O005578,P0001,2.0,0.019
LI000535,O006257,P0059,3.0,0.07
LI000536,O001048,P0115,4.0,0.101
LI000537,O004379,P0116,1.0,0.101
LI000538,O001316,P0109,2.0,0.11
LI000539,O001387,P0047,5.0,0.163
LI000540,O003921,P0109,5.0,0.144
LI000541,O001738,P0018,2.0,0.13
LI000542,O000422,P0113,1.0,0.209
LI000543,O003802,P0033,5.0,0.049
LI000544,O005363,P0015,3.0,0.215
LI000545,O005474,P0024,3.0,0.203
LI000546,O001412,P0036,1.0,0.049
LI000547,O003250,P0060,1.0,0.156
LI000548,O004571,P0034,3.0,0.056
LI000549,O002453,P0090,1.0,0.236
LI000550,O002084,P0051,2.0,0.123
LI000551,O004454,P0040,1.0,0.051
LI000552,O004654,P0022,3.0,0.159
LI000553,O003679,P0016,4.0,0.177
LI000554,O001351,P0104,1.0,0.151
LI000555,O005164,P0042,5.0,0.06
LI000556,O002368,P0016,2.0,0.184
LI000557,O004834,P0005,2.0,0.232
LI000558,O003341,P0115,2.0,0.238
LI000559,O002573,P0006,5.0,0.17
LI000560,O004121,P0042,5.0,0.21
LI000561,O003845,P0088,2.0,0.245
LI000562,O000640,P0030,2.0,0.011
LI000563,O001575,P0101,2.0,0.119
LI000564,O003229,P0032,1.0,0.073
LI000565,O005305,P0053,5.0,0.119
LI000566,O004270,P0019,3.0,0.229
LI000567,O005514,P0051,1.0,0.246
LI000568,O000186,P0109,3.0,0.226
LI000569,O005401,P0028,1.0,0.049
LI000570,O005097,P0047,1.0,0.201
LI000571,O001319,P0072,3.0,0.204
LI000572,O000528,P0107,2.0,0.145
LI000573,O003260,P0001,3.0,0.179
LI000574,O003484,P0068,4.0,0.226
LI000575,O003020,P0057,5.0,0.249
LI000576,O004780,P0022,4.0,0.01
LI000577,O002234,P0086,1.0,0.064
LI000578,O001568,P0094,3.0,0.234
LI000579,O000575,P0058,2.0,0.082
LI000580,O002035,P0091,2.0,0.027
LI000581,O005981,P0091,4.0,0.078
LI000582,O001325,P0013,4.0,0.13
LI000583,O004405,P0039,1.0,0.097
LI000584,O001213,P0027,5.0,0.197
LI000585,O005938,P0039,1.0,0.153
LI000586,O001435,P0102,2.0,0.109
LI000587,O000538,P0072,3.0,0.249
LI000588,O004954,P0012,4.0,0.221
LI000589,O001575,P0024,2.0,0.216
LI000590,O000193,P0018,1.0,0.142
LI000591,O001187,P0119,5.0,0.195
LI000592,O004149,P0015,3.0,0.084
LI000593,O000475,P0060,5.0,0.082
LI000594,O004270,P0016,1.0,0.223
LI000595,O005316,P0097,1.0,0.149
LI000596,O001814,P0074,2.0,0.086
LI000597,O004796,P0047,3.0,0.211
LI000598,O002438,P0024,1.0,0.111
LI000599,O003380,P0045,2.0,0.1
LI000600,O004553,P0019,1.0,0.007
LI000601,O001355,P0091,2.0,0.17
LI000602,O005615,P0109,5.0,0.133
LI000603,O003401,P0041,2.0,0.078
LI000604,O003755,P0031,5.0,0.035
LI000605,O006266,P0085,4.0,0.046
LI000606,O003530,P0016,1.0,0.056
LI000607,O000159,P0023,4.0,0.216
LI000608,O001838,P0078,3.0,0.12
LI000609,O004612,P0023,4.0,0.174
LI000610,O001026,P0041,2.0,0.115
LI000611,O000659,P0018,2.0,0.118
LI000612,O000678,P0036,3.0,0.206
LI000613,O004411,P0012,3.0,0.193
LI000614,O004047,P0120,1.0,0.058
LI000615,O003822,P0101,2.0,0.156
LI000616,O002376,P0075,3.0,0.17
LI000617,O000276,P0069,4.0,0.101
LI000618,O004548,P0051,2.0,0.017
LI000619,O001589,P0085,3.0,0.093
LI000620,O004582,P0032,1.0,0.09
LI000621,O005227,P0093,5.0,0.173
LI000622,O004663,P0071,2.0,0.202
LI000623,O000246,P0036,2.0,0.099
LI000624,O000889,P0040,2.0,0.161
LI000625,O002212,P0091,2.0,0.161
LI000626,O004026,P0070,5.0,0.162
LI000627,O000001,P0038,5.0,0.139
LI000628,O002911,P0054,1.0,0.157
LI000629,O002185,P0004,2.0,0.217
LI000630,O004247,P0046,3.0,0.23
LI000631,O003252,P0063,4.0,0.023
LI000632,O005864,P0099,2.0,0.003
LI000633,O003052,P0074,5.0,0.13
LI000634,O001511,P0118,1.0,0.103
LI000635,O003772,P0102,2.0,0.113
LI000636,O005345,P0050,1.0,0.115
LI000637,O001129,P0030,3.0,0.224
LI000638,O005095,P0106,3.0,0.159
LI000639,O000698,P0073,3.0,0.111
LI000640,O001089,P0016,3.0,0.114
LI000641,O006477,P0052,4.0,0.211
LI000642,O002420,P0004,1.0,0.054
LI000643,O005327,P0026,2.0,0.004
LI000644,O002629,P0029,4.0,0.12
LI000645,O003790,P0092,2.0,0.24
LI000646,O000686,P0011,5.0,0.204
LI000647,O002757,P0092,4.0,0.102
LI000648,O005024,P0108,4.0,0.044
LI000649,O001843,P0096,5.0,0.143
LI000650,O001733,P0024,4.0,0.22
LI000651,O004836,P0051,1.0,0.179
LI000652,O004367,P0042,3.0,0.135
LI000653,O001973,P0039,2.0,0.184
LI000654,O000711,P0007,5.0,0.241
LI000655,O000325,P0018,3.0,0.138
LI000656,O005086,P0003,4.0,0.139
LI000657,O005647,P0063,1.0,0.12
LI000658,O004894,P0108,4.0,0.142
LI000659,O005966,P0110,5.0,0.159
LI000660,O002968,P0020,4.0,0.051
LI000661,O003800,P0098,1.0,0.142
LI000662,O002595,P0094,4.0,0.003
LI000663,O001093,P0073,4.0,0.234
LI000664,O002956,P0074,4.0,0.009
